,a,i,u,e,o
#,0.016815839435855708,0.06075400054244643,0.010035259018171955,0.01817195551939246,0.03824247355573637
b,0.011662598318416057,0.0067805804176837535,0.003797125033902902,0.009492812584757255,0.0027122321670735015
by,0.0,0.0,0.0,0.0,0.0
ch,0.0024410089503661514,0.007323026851098454,0.0,0.0,0.00027122321670735016
d,0.01844317873609981,0.0008136696501220504,0.0,0.014103607268782207,0.014917276918904258
dy,0.0,0.0,0.0,0.0,0.0
f,0.0008136696501220504,0.003797125033902902,0.0032546786004882017,0.0,0.0
g,0.028478437754271765,0.0016273393002441008,0.0027122321670735015,0.0029834553837808516,0.0008136696501220504
gy,0.0,0.0,0.00027122321670735016,0.0,0.0
h,0.0,0.005966910767561703,0.0,0.0,0.0029834553837808516
hy,0.0,0.0,0.0,0.0,0.0
j,0.003525901817195552,0.008950366151342554,0.0010848928668294006,0.0,0.0013561160835367507
k,0.03173311635475997,0.03281800922158937,0.02115541090317331,0.012747491185245458,0.026579875237320316
ky,0.0005424464334147003,0.0,0.00027122321670735016,0.0,0.0008136696501220504
m,0.021969080553295363,0.02007051803634391,0.0040683482506102524,0.014374830485489558,0.022782750203417412
my,0.0,0.0,0.0005424464334147003,0.0,0.0
n,0.04800650935720097,0.02061296446975861,0.0027122321670735015,0.005424464334147003,0.026037428803905614
ny,0.0,0.0,0.0,0.0,0.0
p,0.0029834553837808516,0.0013561160835367507,0.0010848928668294006,0.0,0.0013561160835367507
py,0.0,0.0,0.00027122321670735016,0.0,0.0
r,0.031461893138052616,0.01817195551939246,0.02142663411988066,0.013832384052074858,0.008136696501220505
ry,0.0,0.0,0.0,0.0,0.0010848928668294006
s,0.015730946569026308,0.0,0.010848928668294006,0.008679142934635205,0.008950366151342554
sh,0.0005424464334147003,0.023596419853539462,0.0008136696501220504,0.0,0.005966910767561703
t,0.030377000271223215,0.00027122321670735016,0.00027122321670735016,0.03525901817195552,0.031461893138052616
ts,0.0,0.0,0.014917276918904258,0.0,0.0
ty,0.0,0.0,0.0,0.0,0.0
v,0.0,0.0,0.0,0.0,0.0
w,0.028207214537564414,0.0005424464334147003,0.0,0.00027122321670735016,0.0
y,0.0067805804176837535,0.0,0.007865473284513154,0.0,0.013561160835367507
z,0.0027122321670735015,0.0,0.007323026851098454,0.004610794684024953,0.0008136696501220504
cl,0.0,0.0,0.005424464334147003,0.0,0.0
N,0.0,0.0,0.014374830485489558,0.0,0.0
