,a,i,u,e,o
#,0.03106697224344283,0.046091163738222564,0.011713776419658773,0.013750954927425516,0.03234020881079704
b,0.006875477463712758,0.004329004329004329,0.0033104150751209573,0.0012732365673542145,0.005092946269416858
by,0.0,0.0,0.0,0.0,0.0
ch,0.0035650623885918,0.011713776419658773,0.0005092946269416857,0.00025464731347084286,0.0012732365673542145
d,0.021645021645021644,0.0005092946269416857,0.0,0.014005602240896359,0.012732365673542145
dy,0.0,0.0,0.0,0.0,0.0
f,0.0010185892538833714,0.0,0.008403361344537815,0.0,0.0
g,0.019098548510313215,0.0012732365673542145,0.002291825821237586,0.004074357015533486,0.0035650623885918
gy,0.0,0.0,0.0005092946269416857,0.0,0.0
h,0.0,0.010440539852304559,0.0,0.0,0.004838298955946015
hy,0.00025464731347084286,0.0,0.0,0.0,0.0
j,0.0028011204481792717,0.006875477463712758,0.0010185892538833714,0.0,0.0010185892538833714
k,0.03997962821492233,0.03947033358798065,0.01858925388337153,0.016042780748663103,0.023682200152788387
ky,0.00025464731347084286,0.0,0.0007639419404125286,0.0,0.0010185892538833714
m,0.016042780748663103,0.023172905525846704,0.006875477463712758,0.016297428062133943,0.025210084033613446
my,0.0,0.0,0.00025464731347084286,0.0,0.0
n,0.04710975299210593,0.018843901196842372,0.0005092946269416857,0.0073847720906544435,0.03208556149732621
ny,0.0,0.0,0.00025464731347084286,0.0,0.0
p,0.0017825311942959,0.0012732365673542145,0.0007639419404125286,0.00025464731347084286,0.0012732365673542145
py,0.0,0.0,0.0,0.0,0.0
r,0.03310415075120957,0.017316017316017316,0.021135727018079958,0.0213903743315508,0.007639419404125287
ry,0.0,0.0,0.00025464731347084286,0.0,0.0012732365673542145
s,0.010185892538833716,0.0,0.013750954927425516,0.01324166030048383,0.013496307613954673
sh,0.0007639419404125286,0.02546473134708429,0.0012732365673542145,0.0,0.0053475935828877
t,0.035650623885918005,0.00025464731347084286,0.0005092946269416857,0.02826585179526356,0.021899668958492487
ts,0.0,0.0,0.01680672268907563,0.0,0.0
ty,0.0,0.0,0.0,0.0,0.0
v,0.0,0.0,0.0,0.0,0.0
w,0.02546473134708429,0.0,0.0,0.00025464731347084286,0.0
y,0.006875477463712758,0.0,0.008148714031066972,0.0,0.012477718360071301
z,0.0015278838808250573,0.0,0.006875477463712758,0.0033104150751209573,0.0005092946269416857
cl,0.0,0.0,0.005092946269416858,0.0,0.0
N,0.0,0.0,0.011713776419658773,0.0,0.0
