,a,i,u,e,o
#,0.018708509354254676,0.055220277610138806,0.011164755582377792,0.019613759806879905,0.036511768255884126
b,0.008750754375377187,0.0051297525648762825,0.004526252263126132,0.0030175015087507543,0.006638503319251659
by,0.0,0.0,0.0,0.0,0.0
ch,0.003621001810500905,0.009656004828002414,0.0012070006035003018,0.0,0.0015087507543753772
d,0.02383826191913096,0.0009052504526252263,0.00030175015087507544,0.017501508750754374,0.011466505733252867
dy,0.0,0.0,0.0,0.0,0.0
f,0.00030175015087507544,0.00030175015087507544,0.004828002414001207,0.00030175015087507544,0.0012070006035003018
g,0.0171997585998793,0.0033192516596258297,0.0030175015087507543,0.005733252866626433,0.0033192516596258297
gy,0.0,0.0,0.0,0.0,0.0
h,0.0,0.008147254073627036,0.0,0.0,0.004224502112251056
hy,0.0,0.0,0.0,0.0,0.00030175015087507544
j,0.002715751357875679,0.008147254073627036,0.0006035003017501509,0.0,0.0006035003017501509
k,0.03228726614363307,0.03379601689800845,0.020217260108630054,0.011466505733252867,0.021424260712130355
ky,0.0,0.0,0.0012070006035003018,0.0,0.0024140012070006035
m,0.019010259505129752,0.022027761013880508,0.005733252866626433,0.015087507543753771,0.02987326493663247
my,0.0,0.0,0.0,0.0,0.0
n,0.041943270971635485,0.024140012070006035,0.0015087507543753772,0.008449004224502113,0.028062764031382016
ny,0.0,0.0,0.0,0.0,0.0
p,0.0030175015087507543,0.0012070006035003018,0.0018105009052504525,0.0,0.0015087507543753772
py,0.0,0.0,0.0006035003017501509,0.0,0.0
r,0.03349426674713337,0.019010259505129752,0.022933011466505733,0.01448400724200362,0.006336753168376584
ry,0.0,0.0,0.0,0.0,0.0006035003017501509
s,0.012070006035003017,0.0,0.012975256487628244,0.008449004224502113,0.009656004828002414
sh,0.0015087507543753772,0.024743512371756187,0.00030175015087507544,0.0,0.003621001810500905
t,0.032890766445383225,0.002715751357875679,0.0,0.028364514182257092,0.02987326493663247
ts,0.0,0.0,0.015087507543753771,0.0,0.0
ty,0.0,0.0,0.0,0.0,0.0
v,0.0,0.0,0.0006035003017501509,0.0,0.0
w,0.026554013277006638,0.00030175015087507544,0.0,0.0,0.0
y,0.004828002414001207,0.0,0.00724200362100181,0.0,0.0171997585998793
z,0.0024140012070006035,0.0,0.006638503319251659,0.003922751961375981,0.0015087507543753772
cl,0.0,0.0,0.004224502112251056,0.0,0.0
N,0.0,0.0,0.015087507543753771,0.0,0.0
