,a,i,u,e,o
#,0.022510980966325037,0.05380673499267936,0.010980966325036604,0.017020497803806735,0.035596632503660325
b,0.009059297218155198,0.005398975109809663,0.0038433382137628112,0.004575402635431918,0.004758418740849195
by,0.0,0.0,0.0,0.0,0.0
ch,0.0032027818448023427,0.009608345534407028,0.0005490483162518302,9.150805270863836e-05,0.001006588579795022
d,0.0212298682284041,0.0007320644216691069,9.150805270863836e-05,0.01509882869692533,0.013085651537335286
dy,0.0,0.0,0.0,0.0,0.0
f,0.0007320644216691069,0.0013726207906295754,0.00558199121522694,9.150805270863836e-05,0.00036603221083455345
g,0.02168740849194729,0.002013177159590044,0.0026537335285505125,0.004209370424597365,0.002562225475841874
gy,0.0,0.0,0.0002745241581259151,0.0,0.0
h,0.0,0.008235724743777453,0.0,0.0,0.004026354319180088
hy,9.150805270863836e-05,0.0,0.0,0.0,9.150805270863836e-05
j,0.003019765739385066,0.007961200585651538,0.0009150805270863836,0.0,0.001006588579795022
k,0.03486456808199122,0.035505124450951685,0.019948755490483163,0.013543191800878478,0.02397510980966325
ky,0.0002745241581259151,0.0,0.0007320644216691069,0.0,0.0013726207906295754
m,0.01894216691068814,0.02177891654465593,0.00558199121522694,0.015281844802342607,0.02580527086383602
my,0.0,0.0,0.0002745241581259151,0.0,0.0
n,0.04584553440702782,0.021046852122986823,0.0015556368960468522,0.007046120058565154,0.028825036603221083
ny,0.0,0.0,9.150805270863836e-05,0.0,0.0
p,0.002562225475841874,0.001281112737920937,0.0011896046852122987,9.150805270863836e-05,0.0013726207906295754
py,0.0,0.0,0.0002745241581259151,0.0,0.0
r,0.0326683748169839,0.018118594436310396,0.02177891654465593,0.01674597364568082,0.007412152269399707
ry,0.0,0.0,9.150805270863836e-05,0.0,0.001006588579795022
s,0.012628111273792094,0.0,0.012536603221083456,0.010248901903367497,0.010797950219619327
sh,0.0009150805270863836,0.024615666178623718,0.0008235724743777453,0.0,0.00503294289897511
t,0.03303440702781845,0.001006588579795022,0.0002745241581259151,0.03065519765739385,0.027543923865300145
ts,0.0,0.0,0.01564787701317716,0.0,0.0
ty,0.0,0.0,0.0,0.0,0.0
v,0.0,0.0,0.00018301610541727673,0.0,0.0
w,0.026720351390922402,0.0002745241581259151,0.0,0.00018301610541727673,0.0
y,0.006222547584187409,0.0,0.007778184480234261,0.0,0.014275256222547585
z,0.0021961932650073207,0.0,0.006954612005856516,0.00393484626647145,0.0009150805270863836
cl,0.0,0.0,0.004941434846266472,0.0,0.0
N,0.0,0.0,0.013634699853587116,0.0,0.0
