,a,i,u,e,o
#,246,588,120,186,389
b,99,59,42,50,52
by,0,0,0,0,0
ch,35,105,6,1,11
d,232,8,1,165,143
dy,0,0,0,0,0
f,8,15,61,1,4
g,237,22,29,46,28
gy,0,0,3,0,0
h,0,90,0,0,44
hy,1,0,0,0,1
j,33,87,10,0,11
k,381,388,218,148,262
ky,3,0,8,0,15
m,207,238,61,167,282
my,0,0,3,0,0
n,501,230,17,77,315
ny,0,0,1,0,0
p,28,14,13,1,15
py,0,0,3,0,0
r,357,198,238,183,81
ry,0,0,1,0,11
s,138,0,137,112,118
sh,10,269,9,0,55
t,361,11,3,335,301
ts,0,0,171,0,0
ty,0,0,0,0,0
v,0,0,2,0,0
w,292,3,0,2,0
y,68,0,85,0,156
z,24,0,76,43,10
cl,0,0,54,0,0
N,0,0,149,0,0
