song,lyric,pitch,relative_pitch,consonant,vowel,special
01,き,64,-2.0,k,i,None
01,っ,64,-2.0,k,i,None
01,と,71,5.0,t,o,None
01,と,68,2.0,t,o,None
01,べ,69,3.0,b,e,None
01,ば,71,5.0,b,a,None
01,そ,71,5.0,s,o,None
01,ら,69,3.0,r,a,None
01,ま,68,2.0,m,a,None
01,で,66,0.0,d,e,None
01,と,68,2.0,t,o,None
01,ど,69,3.0,d,o,None
01,く,68,2.0,k,u,None
01,お,71,5.0,None,o,None
01,お,64,-2.0,None,o,None
01,き,64,-2.0,k,i,None
01,な,64,-2.0,n,a,None
01,こ,64,-2.0,k,o,None
01,の,69,3.0,n,o,None
01,せ,71,5.0,s,e,None
01,え,66,0.0,None,e,None
01,か,66,0.0,k,a,None
01,い,66,0.0,None,i,None
01,い,66,0.0,None,i,None
01,ま,66,0.0,m,a,None
01,き,71,5.0,k,i,None
01,み,69,3.0,m,i,None
01,の,68,2.0,n,o,None
01,も,69,3.0,m,o,None
01,の,68,2.0,n,o,None
01,ゆ,64,-2.0,y,u,None
01,れ,64,-2.0,r,e,None
01,て,71,5.0,t,e,None
01,か,68,2.0,k,a,None
01,わ,69,3.0,w,a,None
01,る,71,5.0,r,u,None
01,す,71,5.0,s,u,None
01,が,69,3.0,g,a,None
01,た,68,2.0,t,a,None
01,み,66,0.0,m,i,None
01,せ,68,2.0,s,e,None
01,た,69,3.0,t,a,None
01,い,68,2.0,None,i,None
01,お,63,-3.0,None,o,None
01,べ,64,-2.0,b,e,None
01,い,64,-2.0,b,e,None
01,び,64,-2.0,b,i,None
01,べ,66,0.0,b,e,None
01,い,66,0.0,b,e,None
01,び,64,-2.0,b,i,None
01,み,64,-2.0,m,i,None
01,ご,64,-2.0,g,o,None
01,ず,64,-2.0,z,u,None
01,っ,64,-2.0,z,u,None
01,と,64,-2.0,t,o,None
01,お,59,-7.0,None,o,None
01,も,66,0.0,m,o,None
01,お,64,-2.0,None,o,None
01,っ,64,-2.0,None,o,None
01,て,63,-3.0,t,e,None
01,た,64,-2.0,t,a,None
01,ね,62,-4.0,n,e,None
01,が,62,-4.0,g,a,None
01,い,62,-4.0,None,i,None
01,わ,61,-5.0,w,a,None
01,い,61,-5.0,None,i,None
01,ち,65,-1.0,ch,i,None
01,ど,68,2.0,d,o,None
01,は,68,2.0,w,a,None
01,な,69,3.0,n,a,None
01,し,61,-5.0,sh,i,None
01,た,64,-2.0,t,a,None
01,ら,64,-2.0,r,a,None
01,く,68,2.0,k,u,None
01,ず,69,3.0,z,u,None
01,れ,61,-5.0,r,e,None
01,て,64,-2.0,t,e,None
01,く,63,-3.0,k,u,None
01,しゅ,64,-2.0,sh,u,None
01,ん,64,-2.0,sh,u,None
01,か,64,-2.0,k,a,None
01,ん,64,-2.0,k,a,None
01,む,59,-7.0,m,u,None
01,か,66,0.0,k,a,None
01,い,64,-2.0,None,i,None
01,か,63,-3.0,k,a,None
01,ぜ,64,-2.0,z,e,None
01,だ,62,-4.0,d,a,None
01,れ,62,-4.0,r,e,None
01,も,62,-4.0,m,o,None
01,し,61,-5.0,sh,i,None
01,ら,61,-5.0,r,a,None
01,な,65,-1.0,n,a,None
01,い,68,2.0,None,i,None
01,あ,68,2.0,None,a,None
01,し,69,3.0,sh,i,None
01,あ,61,-5.0,None,a,None
01,と,64,-2.0,t,o,None
01,お,64,-2.0,None,o,None
01,き,68,2.0,k,i,None
01,ず,69,3.0,z,u,None
01,か,61,-5.0,k,a,None
01,せ,64,-2.0,s,e,None
01,る,63,-3.0,r,u,None
01,き,68,2.0,k,i,None
01,み,63,-3.0,m,i,None
01,と,59,-7.0,t,o,None
01,で,68,2.0,d,e,None
01,あ,69,3.0,None,a,None
01,う,68,2.0,None,u,None
01,だ,66,0.0,d,a,None
01,け,64,-2.0,k,e,None
01,で,64,-2.0,d,e,None
01,せ,64,-2.0,s,e,None
01,か,66,0.0,k,a,None
01,い,68,2.0,None,i,None
01,わ,66,0.0,w,a,None
01,い,61,-5.0,None,i,None
01,ろ,69,3.0,r,o,None
01,お,68,2.0,None,o,None
01,つ,63,-3.0,ts,u,None
01,け,66,0.0,k,e,None
01,る,64,-2.0,r,u,None
01,そ,66,0.0,s,o,None
01,の,63,-3.0,n,o,None
01,ほ,64,-2.0,h,o,None
01,ほ,66,0.0,h,o,None
01,え,63,-3.0,None,e,None
01,み,64,-2.0,m,i,None
01,が,66,0.0,g,a,None
01,あ,63,-3.0,None,a,None
01,る,64,-2.0,r,u,None
01,の,66,0.0,n,o,None
01,な,68,2.0,n,a,None
01,ら,66,0.0,r,a,None
01,ひ,59,-7.0,h,i,None
01,と,64,-2.0,t,o,None
01,り,64,-2.0,r,i,None
01,き,66,0.0,k,i,None
01,り,71,5.0,r,i,None
01,じゃ,66,0.0,j,a,None
01,な,69,3.0,n,a,None
01,い,68,2.0,None,i,None
01,よ,64,-2.0,y,o,None
01,ど,68,2.0,d,o,None
01,こ,69,3.0,k,o,None
01,ま,66,0.0,m,a,None
01,で,70,4.0,d,e,None
01,も,66,0.0,m,o,None
01,ま,70,4.0,m,a,None
01,も,71,5.0,m,o,None
01,り,69,3.0,r,i,None
01,た,68,2.0,t,a,None
01,い,66,0.0,None,i,None
01,き,64,-2.0,k,i,None
01,っ,64,-2.0,k,i,None
01,と,71,5.0,t,o,None
01,と,68,2.0,t,o,None
01,べ,69,3.0,b,e,None
01,ば,71,5.0,b,a,None
01,そ,71,5.0,s,o,None
01,ら,69,3.0,r,a,None
01,ま,68,2.0,m,a,None
01,で,66,0.0,d,e,None
01,と,68,2.0,t,o,None
01,ど,69,3.0,d,o,None
01,く,68,2.0,k,u,None
01,お,71,5.0,None,o,None
01,お,64,-2.0,None,o,None
01,き,64,-2.0,k,i,None
01,な,64,-2.0,n,a,None
01,こ,64,-2.0,k,o,None
01,の,69,3.0,n,o,None
01,せ,71,5.0,s,e,None
01,え,66,0.0,None,e,None
01,か,66,0.0,k,a,None
01,い,66,0.0,None,i,None
01,い,66,0.0,None,i,None
01,ま,66,0.0,m,a,None
01,き,71,5.0,k,i,None
01,み,69,3.0,m,i,None
01,の,68,2.0,n,o,None
01,も,69,3.0,m,o,None
01,の,68,2.0,n,o,None
01,ゆ,64,-2.0,y,u,None
01,れ,64,-2.0,r,e,None
01,て,71,5.0,t,e,None
01,か,68,2.0,k,a,None
01,わ,69,3.0,w,a,None
01,る,71,5.0,r,u,None
01,す,71,5.0,s,u,None
01,が,69,3.0,g,a,None
01,た,68,2.0,t,a,None
01,み,66,0.0,m,i,None
01,せ,68,2.0,s,e,None
01,た,69,3.0,t,a,None
01,い,68,2.0,None,i,None
01,お,63,-3.0,None,o,None
01,べ,64,-2.0,b,e,None
01,い,64,-2.0,b,e,None
01,び,64,-2.0,b,i,None
01,べ,66,0.0,b,e,None
01,い,66,0.0,b,e,None
01,び,64,-2.0,b,i,None
01,み,64,-2.0,m,i,None
01,ご,64,-2.0,g,o,None
02,き,62,0.0,k,i,None
02,え,64,2.0,None,e,None
02,る,67,5.0,r,u,None
02,こ,66,4.0,k,o,None
02,と,61,-1.0,t,o,None
02,の,64,2.0,n,o,None
02,な,62,0.0,n,a,None
02,い,62,0.0,None,i,None
02,ゆ,66,4.0,y,u,None
02,め,69,7.0,m,e,None
02,が,69,7.0,g,a,None
02,あ,62,0.0,None,a,None
02,る,62,0.0,r,u,None
02,こ,71,9.0,k,o,None
02,と,69,7.0,t,o,None
02,し,62,0.0,sh,i,None
02,ん,64,2.0,None,None,N
02,じ,66,4.0,j,i,None
02,て,66,4.0,t,e,None
02,い,67,5.0,None,i,None
02,る,64,2.0,r,u,None
02,い,62,0.0,None,i,None
02,つ,61,-1.0,ts,u,None
02,ま,59,-3.0,m,a,None
02,で,61,-1.0,d,e,None
02,も,62,0.0,m,o,None
02,ろ,57,-5.0,r,o,None
02,お,62,0.0,None,o,None
02,ふぁ,62,0.0,f,a,None
02,な,57,-5.0,n,a,None
02,ら,57,-5.0,r,a,None
02,し,64,2.0,sh,i,None
02,て,64,2.0,t,e,None
02,か,62,0.0,k,a,None
02,ぜ,62,0.0,z,e,None
02,お,61,-1.0,None,o,None
02,お,62,0.0,None,o,None
02,い,64,2.0,None,i,None
02,こ,66,4.0,k,o,None
02,せ,61,-1.0,s,e,None
02,ば,61,-1.0,b,a,None
02,きゅ,62,0.0,ky,u,None
02,ん,61,-1.0,None,None,N
02,と,62,0.0,t,o,None
02,つ,64,2.0,ts,u,None
02,め,62,0.0,m,e,None
02,た,57,-5.0,t,a,None
02,い,57,-5.0,None,i,None
02,あ,55,-7.0,None,a,None
02,き,54,-8.0,k,i,None
02,の,55,-7.0,n,o,None
02,ゆ,57,-5.0,y,u,None
02,う,59,-3.0,None,u,None
02,ぐ,57,-5.0,g,u,None
02,れ,57,-5.0,r,e,None
02,あ,57,-5.0,None,a,None
02,か,62,0.0,k,a,None
02,い,62,0.0,None,i,None
02,せ,57,-5.0,s,e,None
02,ろ,57,-5.0,r,o,None
02,ふぁ,64,2.0,f,a,None
02,ん,64,2.0,None,None,N
02,ら,62,0.0,r,a,None
02,む,62,0.0,m,u,None
02,ね,61,-1.0,n,e,None
02,お,62,0.0,None,o,None
02,ひ,64,2.0,h,i,None
02,と,66,4.0,t,o,None
02,つ,61,-1.0,ts,u,None
02,ぶ,61,-1.0,b,u,None
02,く,62,0.0,k,u,None
02,ち,61,-1.0,ch,i,None
02,に,62,0.0,n,i,None
02,い,64,2.0,None,i,None
02,れ,62,0.0,r,e,None
02,た,57,-5.0,t,a,None
02,ら,57,-5.0,r,a,None
02,た,62,0.0,t,a,None
02,ち,64,2.0,ch,i,None
02,ま,66,4.0,m,a,None
02,ち,67,5.0,ch,i,None
02,と,64,2.0,t,o,None
02,け,62,0.0,k,e,None
02,た,64,2.0,t,a,None
02,あ,66,4.0,None,a,None
02,と,64,2.0,t,o,None
02,な,62,0.0,n,a,None
02,ん,61,-1.0,None,None,N
02,ど,62,0.0,d,o,None
02,こ,66,4.0,k,o,None
02,お,64,2.0,None,o,None
02,や,62,0.0,y,a,None
02,っ,61,-1.0,None,None,cl
02,て,62,0.0,t,e,None
02,お,66,4.0,None,o,None
02,な,64,2.0,n,a,None
02,じ,62,0.0,j,i,None
02,ゆ,61,-1.0,y,u,None
02,う,62,0.0,None,u,None
02,や,59,-3.0,y,a,None
02,け,62,0.0,k,e,None
02,ぞ,64,2.0,z,o,None
02,ら,62,0.0,r,a,None
02,お,71,9.0,None,o,None
02,わ,59,-3.0,w,a,None
02,け,62,0.0,k,e,None
02,あ,67,5.0,None,a,None
02,え,66,4.0,None,e,None
02,る,64,2.0,r,u,None
02,か,62,0.0,k,a,None
02,な,64,2.0,n,a,None
02,せ,59,-3.0,s,e,None
02,つ,66,4.0,ts,u,None
02,な,66,4.0,n,a,None
02,い,67,5.0,None,i,None
02,よ,64,2.0,y,o,None
02,う,57,-5.0,None,u,None
02,ま,62,0.0,m,a,None
02,れ,67,5.0,r,e,None
02,て,66,4.0,t,e,None
02,わ,66,4.0,w,a,None
02,き,62,0.0,k,i,None
02,え,64,2.0,None,e,None
02,る,67,5.0,r,u,None
02,あ,66,4.0,None,a,None
02,わ,61,-1.0,w,a,None
02,の,64,2.0,n,o,None
02,よ,62,0.0,y,o,None
02,な,62,0.0,n,a,None
02,ひ,66,4.0,h,i,None
02,び,69,7.0,b,i,None
02,に,69,7.0,n,i,None
02,ま,62,0.0,m,a,None
02,よ,71,9.0,y,o,None
02,い,69,7.0,None,i,None
02,く,62,0.0,k,u,None
02,じ,64,2.0,j,i,None
02,け,66,4.0,k,e,None
02,そ,66,4.0,s,o,None
02,な,67,5.0,n,a,None
02,ひ,64,2.0,h,i,None
02,に,62,0.0,n,i,None
02,わ,64,2.0,w,a,None
02,す,57,-5.0,s,u,None
02,こ,62,0.0,k,o,None
02,し,67,5.0,sh,i,None
02,ず,66,4.0,z,u,None
02,つ,66,4.0,ts,u,None
02,く,62,0.0,k,u,None
02,れ,64,2.0,r,e,None
02,て,67,5.0,t,e,None
02,ゆ,66,4.0,y,u,None
02,く,61,-1.0,k,u,None
02,そ,64,2.0,s,o,None
02,ら,62,0.0,r,a,None
02,に,62,0.0,n,i,None
02,さ,61,-1.0,s,a,None
02,く,62,0.0,k,u,None
02,い,66,4.0,None,i,None
02,ち,69,7.0,ch,i,None
02,ば,69,7.0,b,a,None
02,ん,62,0.0,None,None,N
02,ぼ,62,0.0,b,o,None
02,し,71,9.0,sh,i,None
02,に,69,7.0,n,i,None
02,つ,62,0.0,ts,u,None
02,よ,64,2.0,y,o,None
02,く,66,4.0,k,u,None
02,ね,66,4.0,n,e,None
02,が,67,5.0,g,a,None
02,う,64,2.0,None,u,None
02,ふぉ,62,0.0,f,o,None
02,え,61,-1.0,None,e,None
02,ば,59,-3.0,b,a,None
