,a,i,u,e,o
#,0.0215633423180593,0.06199460916442048,0.010046557216368537,0.018132810585640775,0.04165645675079637
b,0.007106101445724087,0.0036755697133055622,0.0022053418279833373,0.0007351139426611125,0.0044106836559666745
by,0.0,0.0,0.0,0.0,0.0
ch,0.0026954177897574125,0.0098015192354815,0.000490075961774075,0.0002450379808870375,0.00098015192354815
d,0.017887772604753736,0.0007351139426611125,0.0002450379808870375,0.017887772604753736,0.013477088948787063
dy,0.0,0.0,0.0,0.0,0.0
f,0.0002450379808870375,0.00098015192354815,0.005390835579514825,0.0,0.00098015192354815
g,0.02450379808870375,0.0017152658662092624,0.0022053418279833373,0.0031854937515314874,0.0022053418279833373
gy,0.0,0.0,0.0,0.0,0.0
h,0.0,0.008086253369272238,0.0,0.0,0.00294045577064445
hy,0.0002450379808870375,0.0,0.0,0.0,0.0002450379808870375
j,0.00294045577064445,0.007596177407498162,0.00098015192354815,0.0,0.0017152658662092624
k,0.026954177897574125,0.03406027934329821,0.0215633423180593,0.014212202891448174,0.02254349424160745
ky,0.000490075961774075,0.0,0.0012251899044351876,0.0,0.00098015192354815
m,0.018132810585640775,0.018622886547414848,0.005390835579514825,0.014947316834109287,0.030874785591766724
my,0.0,0.0,0.0007351139426611125,0.0,0.0
n,0.03749081107571674,0.02327860818426856,0.00098015192354815,0.009066405292820387,0.034550355305072285
ny,0.0,0.0,0.0,0.0,0.0
p,0.001470227885322225,0.001470227885322225,0.0012251899044351876,0.0,0.000490075961774075
py,0.0,0.0,0.000490075961774075,0.0,0.0
r,0.03234501347708895,0.02058319039451115,0.025974025974025976,0.014947316834109287,0.007106101445724087
ry,0.0,0.0,0.0002450379808870375,0.0,0.0007351139426611125
s,0.012496937025238911,0.0,0.009066405292820387,0.008086253369272238,0.0098015192354815
sh,0.0,0.02646410193580005,0.0,0.0,0.00490075961774075
t,0.027934329821122275,0.0002450379808870375,0.0002450379808870375,0.038716000980151925,0.029159519725557463
ts,0.0,0.0,0.015927468757657437,0.0,0.0
ty,0.0,0.0,0.0,0.0,0.0
v,0.0,0.0,0.0,0.0,0.0
w,0.02621906395491301,0.0,0.0,0.0,0.0
y,0.005145797598627788,0.0,0.008086253369272238,0.0,0.018622886547414848
z,0.002450379808870375,0.0,0.00686106346483705,0.0017152658662092624,0.0012251899044351876
cl,0.0,0.0,0.004655721636853712,0.0,0.0
N,0.0,0.0,0.01666258270031855,0.0,0.0
