,a,i,u,e,o
#,0.021504392386530014,0.06817349926793558,0.012628111273792094,0.01674597364568082,0.03486456808199122
b,0.007778184480234261,0.005398975109809663,0.0033857979502196194,0.002745241581259151,0.004300878477306003
by,0.0,0.0,0.0,0.0,0.0
ch,0.002562225475841874,0.00951683748169839,0.0004575402635431918,9.150805270863836e-05,0.0007320644216691069
d,0.018850658857979503,0.0006405563689604685,9.150805270863836e-05,0.014732796486090776,0.01226207906295754
dy,0.0,0.0,0.0,0.0,0.0
f,0.0004575402635431918,0.001281112737920937,0.005398975109809663,9.150805270863836e-05,0.00036603221083455345
g,0.02068081991215227,0.0019216691068814056,0.002287701317715959,0.0033857979502196194,0.0021961932650073207
gy,0.0,0.0,0.00018301610541727673,0.0,0.0
h,0.0,0.008052708638360176,0.0,0.0,0.0038433382137628112
hy,9.150805270863836e-05,0.0,0.0,0.0,9.150805270863836e-05
j,0.0026537335285505125,0.0076866764275256225,0.0007320644216691069,0.0,0.0009150805270863836
k,0.03248535871156662,0.034315519765739384,0.019674231332357246,0.01281112737920937,0.023060029282576867
ky,0.0002745241581259151,0.0,0.0007320644216691069,0.0,0.001281112737920937
m,0.017478038067349926,0.021046852122986823,0.00558199121522694,0.014641288433382138,0.02443265007320644
my,0.0,0.0,0.0002745241581259151,0.0,0.0
n,0.040995607613469986,0.02058931185944363,0.0013726207906295754,0.006954612005856516,0.028642020497803806
ny,0.0,0.0,9.150805270863836e-05,0.0,0.0
p,0.002287701317715959,0.0010980966325036604,0.0011896046852122987,9.150805270863836e-05,0.001281112737920937
py,0.0,0.0,0.0002745241581259151,0.0,0.0
r,0.030014641288433383,0.01784407027818448,0.021321376281112737,0.016105417276720352,0.006771595900439239
ry,0.0,0.0,9.150805270863836e-05,0.0,0.0009150805270863836
s,0.011987554904831626,0.0,0.012079062957540264,0.009333821376281113,0.009882869692532943
sh,0.0006405563689604685,0.02388360175695461,0.0006405563689604685,0.0,0.004026354319180088
t,0.030563689604685213,0.0006405563689604685,0.0002745241581259151,0.029923133235724743,0.02736090775988287
ts,0.0,0.0,0.015373352855051245,0.0,0.0
ty,0.0,0.0,0.0,0.0,0.0
v,0.0,0.0,9.150805270863836e-05,0.0,0.0
w,0.024798682284040995,0.0002745241581259151,0.0,0.00018301610541727673,0.0
y,0.005765007320644217,0.0,0.0076866764275256225,0.0,0.01400073206442167
z,0.0019216691068814056,0.0,0.006588579795021962,0.0028367496339677892,0.0009150805270863836
cl,0.0,0.0,0.021595900439238654,0.0,0.0
N,0.0,0.0,0.030929721815519767,0.0,0.0
