song,lyric,dur,BPM
01,きっ,1.0,152
01,と,7.0,152
01,と,0.5,152
01,べ,0.5,152
01,ば,1.0,152
01,そ,1.0,152
01,ら,0.5,152
01,ま,0.5,152
01,で,1.0,152
01,と,0.5,152
01,ど,0.5,152
01,く,1.5,152
01,お,1.0,152
01,お,0.5,152
01,き,0.5,152
01,な,1.0,152
01,こ,0.5,152
01,の,0.5,152
01,せ,1.0,152
01,え,0.5,152
01,か,0.5,152
01,い,1.0,152
01,い,0.5,152
01,ま,0.5,152
01,き,1.5,152
01,み,0.5,152
01,の,1.5,152
01,も,0.5,152
01,の,3.0,152
01,ゆ,0.5,152
01,れ,0.5,152
01,て,7.0,152
01,か,0.5,152
01,わ,0.5,152
01,る,1.0,152
01,す,1.0,152
01,が,0.5,152
01,た,0.5,152
01,み,1.0,152
01,せ,0.5,152
01,た,0.5,152
01,い,1.0,152
01,お,1.0,152
01,べい,1.0,152
01,び,1.0,152
01,べい,1.0,152
01,び,1.0,152
01,すてい,1.0,152
01,うぃず,1.0,152
01,み,1.0,152
01,れっつ,1.0,152
01,ご,2.0,152
01,ずっ,1.0,152
01,と,1.0,152
01,お,0.5,152
01,も,0.5,152
01,おっ,1.0,152
01,て,1.0,152
01,た,2.0,152
01,ね,1.0,152
01,が,1.0,152
01,い,1.0,152
01,わ,1.0,152
01,い,0.5,152
01,ち,1.0,152
01,ど,1.0,152
01,は,1.0,152
01,な,0.5,152
01,し,1.0,152
01,た,1.0,152
01,ら,1.0,152
01,く,1.0,152
01,ず,0.5,152
01,れ,1.0,152
01,て,1.0,152
01,く,1.0,152
01,しゅん,1.0,152
01,かん,1.0,152
01,む,0.5,152
01,か,0.5,152
01,い,1.0,152
01,か,1.0,152
01,ぜ,2.0,152
01,だ,1.0,152
01,れ,1.0,152
01,も,1.0,152
01,し,1.0,152
01,ら,0.5,152
01,な,1.0,152
01,い,1.0,152
01,あ,1.0,152
01,し,0.5,152
01,あ,1.0,152
01,と,1.0,152
01,お,2.0,152
01,き,1.0,152
01,ず,0.5,152
01,か,1.0,152
01,せ,1.0,152
01,る,2.0,152
01,き,1.5,152
01,み,1.5,152
01,と,1.5,152
01,で,1.0,152
01,あ,0.5,152
01,う,0.5,152
01,だ,1.5,152
01,け,1.5,152
01,で,2.0,152
01,せ,1.0,152
01,か,1.0,152
01,い,1.5,152
01,わ,1.0,152
01,い,1.0,152
01,ろ,1.5,152
01,お,1.5,152
01,つ,1.0,152
01,け,1.5,152
01,る,3.0,152
01,そ,1.0,152
01,の,0.5,152
01,ほ,0.5,152
01,ほ,1.0,152
01,え,0.5,152
01,み,0.5,152
01,が,1.0,152
01,あ,0.5,152
01,る,0.5,152
01,の,1.0,152
01,な,0.5,152
01,ら,1.0,152
01,ひ,0.5,152
01,と,0.5,152
01,り,1.0,152
01,き,1.0,152
01,り,1.0,152
01,じゃ,0.5,152
01,な,0.75,152
01,い,0.75,152
01,よ,2.0,152
01,ど,1.5,152
01,こ,1.5,152
01,ま,1.0,152
01,で,1.5,152
01,も,1.5,152
01,ま,1.0,152
01,も,2.0,152
01,り,2.0,152
01,た,2.0,152
01,い,3.5,152
01,きっ,1.0,152
01,と,7.0,152
01,と,0.5,152
01,べ,0.5,152
01,ば,1.0,152
01,そ,1.0,152
01,ら,0.5,152
01,ま,0.5,152
01,で,1.0,152
01,と,0.5,152
01,ど,0.5,152
01,く,1.5,152
01,お,1.0,152
01,お,0.5,152
01,き,0.5,152
01,な,1.0,152
01,こ,0.5,152
01,の,0.5,152
01,せ,1.0,152
01,え,0.5,152
01,か,0.5,152
01,い,1.0,152
01,い,0.5,152
01,ま,0.5,152
01,き,1.5,152
01,み,0.5,152
01,の,1.5,152
01,も,0.5,152
01,の,3.0,152
01,ゆ,0.5,152
01,れ,0.5,152
01,て,7.0,152
01,か,0.5,152
01,わ,0.5,152
01,る,1.0,152
01,す,1.0,152
01,が,0.5,152
01,た,0.5,152
01,み,1.0,152
01,せ,0.5,152
01,た,0.5,152
01,い,1.0,152
01,お,1.0,152
01,べい,1.0,152
01,び,1.0,152
01,べい,1.0,152
01,び,1.0,152
01,すてい,1.0,152
01,うぃず,1.0,152
01,み,1.0,152
01,れっつ,1.0,152
01,ご,2.0,152
02,き,0.5,129
02,え,1.0,129
02,る,1.0,129
02,こ,1.0,129
02,と,1.0,129
02,の,1.5,129
02,な,0.5,129
02,い,3.5,129
02,ゆ,1.0,129
02,め,1.0,129
02,が,1.0,129
02,あ,0.5,129
02,る,0.5,129
02,こ,1.0,129
02,と,1.0,129
02,し,1.0,129
02,ん,1.0,129
02,じ,1.0,129
02,て,1.0,129
02,い,0.5,129
02,る,3.0,129
02,い,1.0,129
02,つ,0.5,129
02,ま,0.5,129
02,で,0.5,129
02,も,5.5,129
02,ろ,1.5,129
02,お,0.5,129
02,ふぁ,1.5,129
02,な,0.5,129
02,ら,1.5,129
02,し,0.5,129
02,て,2.5,129
02,か,0.5,129
02,ぜ,0.5,129
02,お,0.5,129
02,お,0.5,129
02,い,0.5,129
02,こ,1.5,129
02,せ,0.5,129
02,ば,2.5,129
02,きゅ,1.0,129
02,ん,0.5,129
02,と,0.5,129
02,つ,0.5,129
02,め,1.5,129
02,た,0.5,129
02,い,1.0,129
02,あ,0.5,129
02,き,0.5,129
02,の,1.0,129
02,ゆ,0.5,129
02,う,1.0,129
02,ぐ,1.0,129
02,れ,3.5,129
02,あ,1.5,129
02,か,0.5,129
02,い,1.5,129
02,せ,0.5,129
02,ろ,1.5,129
02,ふぁ,0.5,129
02,ん,2.5,129
02,ら,0.5,129
02,む,0.5,129
02,ね,0.5,129
02,お,0.5,129
02,ひ,0.5,129
02,と,1.5,129
02,つ,0.5,129
02,ぶ,2.5,129
02,く,1.0,129
02,ち,0.5,129
02,に,0.5,129
02,い,0.5,129
02,れ,1.5,129
02,た,0.5,129
02,ら,1.0,129
02,た,0.5,129
02,ち,0.5,129
02,ま,1.0,129
02,ち,0.5,129
02,と,1.0,129
02,け,1.0,129
02,た,2.0,129
02,あ,1.0,129
02,と,0.5,129
02,な,0.5,129
02,ん,0.5,129
02,ど,1.0,129
02,こ,1.0,129
02,お,0.5,129
02,や,0.5,129
02,っ,0.5,129
02,て,1.0,129
02,お,1.0,129
02,な,0.5,129
02,じ,0.5,129
02,ゆ,0.5,129
02,う,1.0,129
02,や,0.5,129
02,け,1.0,129
02,ぞ,0.5,129
02,ら,0.5,129
02,お,2.0,129
02,わ,1.0,129
02,け,1.0,129
02,あ,1.0,129
02,え,1.0,129
02,る,1.0,129
02,か,1.0,129
02,な,1.0,129
02,せ,1.0,129
02,つ,1.0,129
02,な,1.5,129
02,い,0.5,129
02,よ,3.5,129
02,う,1.0,129
02,ま,1.0,129
02,れ,1.5,129
02,て,0.5,129
02,わ,1.0,129
02,き,0.5,129
02,え,1.0,129
02,る,1.0,129
02,あ,1.0,129
02,わ,1.0,129
02,の,1.5,129
02,よ,0.5,129
02,な,3.5,129
02,ひ,1.0,129
02,び,1.0,129
02,に,1.5,129
02,ま,0.5,129
02,よ,1.0,129
02,い,1.0,129
02,く,1.0,129
02,じ,1.0,129
02,け,1.0,129
02,そ,1.0,129
02,な,0.5,129
02,ひ,1.0,129
02,に,0.5,129
02,わ,2.5,129
02,す,1.0,129
02,こ,1.0,129
02,し,1.5,129
02,ず,0.5,129
02,つ,1.0,129
02,く,0.5,129
02,れ,1.0,129
