song,lyric,dur,BPM,consonant,vowel,special
1,き,0.5,152,k,i,None
1,っ,0.5,152,None,None,cl
1,と,7.0,152,t,o,None
1,と,0.5,152,t,o,None
1,べ,0.5,152,b,e,None
1,ば,1.0,152,b,a,None
1,そ,1.0,152,s,o,None
1,ら,0.5,152,r,a,None
1,ま,0.5,152,m,a,None
1,で,1.0,152,d,e,None
1,と,0.5,152,t,o,None
1,ど,0.5,152,d,o,None
1,く,1.5,152,k,u,None
1,お,1.0,152,None,o,None
1,お,0.5,152,None,o,None
1,き,0.5,152,k,i,None
1,な,1.0,152,n,a,None
1,こ,0.5,152,k,o,None
1,の,0.5,152,n,o,None
1,せ,1.0,152,s,e,None
1,え,0.5,152,None,e,None
1,か,0.5,152,k,a,None
1,い,1.0,152,None,i,None
1,い,0.5,152,None,i,None
1,ま,0.5,152,m,a,None
1,き,1.5,152,k,i,None
1,み,0.5,152,m,i,None
1,の,1.5,152,n,o,None
1,も,0.5,152,m,o,None
1,の,3.0,152,n,o,None
1,ゆ,0.5,152,y,u,None
1,れ,0.5,152,r,e,None
1,て,7.0,152,t,e,None
1,か,0.5,152,k,a,None
1,わ,0.5,152,w,a,None
1,る,1.0,152,r,u,None
1,す,1.0,152,s,u,None
1,が,0.5,152,g,a,None
1,た,0.5,152,t,a,None
1,み,1.0,152,m,i,None
1,せ,0.5,152,s,e,None
1,た,0.5,152,t,a,None
1,い,1.0,152,None,i,None
1,お,1.0,152,None,o,None
1,べ,0.5,152,b,e,None
1,い,0.5,152,None,i,None
1,び,1.0,152,b,i,None
1,べ,0.5,152,b,e,None
1,い,0.5,152,None,i,None
1,び,1.0,152,b,i,None
1,み,1.0,152,m,i,None
1,ご,2.0,152,g,o,None
1,ず,0.5,152,z,u,None
1,っ,0.5,152,None,None,cl
1,と,1.0,152,t,o,None
1,お,0.5,152,None,o,None
1,も,0.5,152,m,o,None
1,お,0.5,152,None,o,None
1,っ,0.5,152,None,None,cl
1,て,1.0,152,t,e,None
1,た,2.0,152,t,a,None
1,ね,1.0,152,n,e,None
1,が,1.0,152,g,a,None
1,い,1.0,152,None,i,None
1,わ,1.0,152,w,a,None
1,い,0.5,152,None,i,None
1,ち,1.0,152,ch,i,None
1,ど,1.0,152,d,o,None
1,は,1.0,152,w,a,None
1,な,0.5,152,n,a,None
1,し,1.0,152,sh,i,None
1,た,1.0,152,t,a,None
1,ら,1.0,152,r,a,None
1,く,1.0,152,k,u,None
1,ず,0.5,152,z,u,None
1,れ,1.0,152,r,e,None
1,て,1.0,152,t,e,None
1,く,1.0,152,k,u,None
1,しゅ,0.5,152,sh,u,None
1,ん,0.5,152,None,None,N
1,か,0.5,152,k,a,None
1,ん,0.5,152,None,None,N
1,む,0.5,152,m,u,None
1,か,0.5,152,k,a,None
1,い,1.0,152,None,i,None
1,か,1.0,152,k,a,None
1,ぜ,2.0,152,z,e,None
1,だ,1.0,152,d,a,None
1,れ,1.0,152,r,e,None
1,も,1.0,152,m,o,None
1,し,1.0,152,sh,i,None
1,ら,0.5,152,r,a,None
1,な,1.0,152,n,a,None
1,い,1.0,152,None,i,None
1,あ,1.0,152,None,a,None
1,し,0.5,152,sh,i,None
1,あ,1.0,152,None,a,None
1,と,1.0,152,t,o,None
1,お,2.0,152,None,o,None
1,き,1.0,152,k,i,None
1,ず,0.5,152,z,u,None
1,か,1.0,152,k,a,None
1,せ,1.0,152,s,e,None
1,る,2.0,152,r,u,None
1,き,1.5,152,k,i,None
1,み,1.5,152,m,i,None
1,と,1.5,152,t,o,None
1,で,1.0,152,d,e,None
1,あ,0.5,152,None,a,None
1,う,0.5,152,None,u,None
1,だ,1.5,152,d,a,None
1,け,1.5,152,k,e,None
1,で,2.0,152,d,e,None
1,せ,1.0,152,s,e,None
1,か,1.0,152,k,a,None
