0,1,2,3,4,5
1,ば,394,b,a,None
1,そ,394,s,o,None
1,で,394,d,e,None
1,く,592,k,u,None
1,お,394,None,o,None
1,な,394,n,a,None
1,せ,394,s,e,None
1,い,394,None,i,None
1,き,592,k,i,None
1,の,592,n,o,None
1,る,394,r,u,None
1,す,394,s,u,None
1,み,394,m,i,None
1,い,394,None,i,None
1,お,394,None,o,None
1,び,394,b,i,None
1,び,394,b,i,None
1,み,394,m,i,None
1,ご,789,g,o,None
1,と,394,t,o,None
1,て,394,t,e,None
1,た,789,t,a,None
1,ね,394,n,e,None
1,が,394,g,a,None
1,い,394,None,i,None
1,わ,394,w,a,None
1,ち,394,ch,i,None
1,ど,394,d,o,None
1,は,394,w,a,None
1,し,394,sh,i,None
1,た,394,t,a,None
1,ら,394,r,a,None
1,く,394,k,u,None
1,れ,394,r,e,None
1,て,394,t,e,None
1,く,394,k,u,None
1,い,394,None,i,None
1,か,394,k,a,None
1,ぜ,789,z,e,None
1,だ,394,d,a,None
1,れ,394,r,e,None
1,も,394,m,o,None
1,し,394,sh,i,None
1,な,394,n,a,None
1,い,394,None,i,None
1,あ,394,None,a,None
1,あ,394,None,a,None
1,と,394,t,o,None
1,お,789,None,o,None
1,き,394,k,i,None
1,か,394,k,a,None
1,せ,394,s,e,None
1,る,789,r,u,None
1,き,592,k,i,None
1,み,592,m,i,None
1,と,592,t,o,None
1,で,394,d,e,None
1,だ,592,d,a,None
1,け,592,k,e,None
1,で,789,d,e,None
1,せ,394,s,e,None
1,か,394,k,a,None
1,い,592,None,i,None
1,わ,394,w,a,None
1,い,394,None,i,None
1,ろ,592,r,o,None
1,お,592,None,o,None
1,つ,394,ts,u,None
1,け,592,k,e,None
1,そ,394,s,o,None
1,ほ,394,h,o,None
1,が,394,g,a,None
1,の,394,n,o,None
1,ら,394,r,a,None
1,り,394,r,i,None
1,き,394,k,i,None
1,り,394,r,i,None
1,な,296,n,a,None
1,い,296,None,i,None
1,よ,789,y,o,None
1,ど,592,d,o,None
1,こ,592,k,o,None
1,ま,394,m,a,None
1,で,592,d,e,None
1,も,592,m,o,None
1,ま,394,m,a,None
1,も,789,m,o,None
