0,1,2,3,4,5
1,き,197,k,i,None
1,っ,197,None,None,cl
1,と,197,t,o,None
1,べ,197,b,e,None
1,ら,197,r,a,None
1,ま,197,m,a,None
1,と,197,t,o,None
1,ど,197,d,o,None
1,お,197,None,o,None
1,き,197,k,i,None
1,こ,197,k,o,None
1,の,197,n,o,None
1,え,197,None,e,None
1,か,197,k,a,None
1,い,197,None,i,None
1,ま,197,m,a,None
1,み,197,m,i,None
1,も,197,m,o,None
1,ゆ,197,y,u,None
1,れ,197,r,e,None
1,か,197,k,a,None
1,わ,197,w,a,None
1,が,197,g,a,None
1,た,197,t,a,None
1,せ,197,s,e,None
1,た,197,t,a,None
1,べ,197,b,e,None
1,い,197,None,i,None
1,べ,197,b,e,None
1,い,197,None,i,None
1,ず,197,z,u,None
1,っ,197,None,None,cl
1,お,197,None,o,None
1,も,197,m,o,None
1,お,197,None,o,None
1,っ,197,None,None,cl
1,い,197,None,i,None
1,な,197,n,a,None
1,ず,197,z,u,None
1,しゅ,197,sh,u,None
1,ん,197,None,None,N
1,か,197,k,a,None
1,ん,197,None,None,N
1,む,197,m,u,None
1,か,197,k,a,None
1,ら,197,r,a,None
1,し,197,sh,i,None
1,ず,197,z,u,None
1,あ,197,None,a,None
1,う,197,None,u,None
1,の,197,n,o,None
1,ほ,197,h,o,None
1,え,197,None,e,None
1,み,197,m,i,None
1,あ,197,None,a,None
1,る,197,r,u,None
1,な,197,n,a,None
1,ひ,197,h,i,None
1,と,197,t,o,None
1,じゃ,197,j,a,None
1,き,197,k,i,None
1,っ,197,None,None,cl
1,と,197,t,o,None
1,べ,197,b,e,None
1,ら,197,r,a,None
1,ま,197,m,a,None
1,と,197,t,o,None
1,ど,197,d,o,None
1,お,197,None,o,None
1,き,197,k,i,None
1,こ,197,k,o,None
1,の,197,n,o,None
1,え,197,None,e,None
1,か,197,k,a,None
1,い,197,None,i,None
1,ま,197,m,a,None
1,み,197,m,i,None
1,も,197,m,o,None
1,ゆ,197,y,u,None
1,れ,197,r,e,None
1,か,197,k,a,None
1,わ,197,w,a,None
1,が,197,g,a,None
1,た,197,t,a,None
1,せ,197,s,e,None
1,た,197,t,a,None
1,べ,197,b,e,None
1,い,197,None,i,None
1,べ,197,b,e,None
1,い,197,None,i,None
2,き,232,k,i,None
2,な,232,n,a,None
2,あ,232,None,a,None
2,る,232,r,u,None
2,い,232,None,i,None
2,つ,232,ts,u,None
2,ま,232,m,a,None
2,で,232,d,e,None
2,お,232,None,o,None
2,な,232,n,a,None
2,し,232,sh,i,None
2,か,232,k,a,None
2,ぜ,232,z,e,None
2,お,232,None,o,None
2,お,232,None,o,None
2,い,232,None,i,None
2,せ,232,s,e,None
2,ん,232,None,None,N
2,と,232,t,o,None
2,つ,232,ts,u,None
2,た,232,t,a,None
2,あ,232,None,a,None
2,き,232,k,i,None
2,ゆ,232,y,u,None
2,か,232,k,a,None
2,せ,232,s,e,None
2,ふぁ,232,f,a,None
2,ら,232,r,a,None
2,む,232,m,u,None
2,ね,232,n,e,None
2,お,232,None,o,None
2,ひ,232,h,i,None
2,つ,232,ts,u,None
2,ち,232,ch,i,None
2,に,232,n,i,None
2,い,232,None,i,None
2,た,232,t,a,None
2,た,232,t,a,None
2,ち,232,ch,i,None
2,ち,232,ch,i,None
2,と,232,t,o,None
2,な,232,n,a,None
2,ん,232,None,None,N
2,お,232,None,o,None
2,や,232,y,a,None
2,っ,232,None,None,cl
2,な,232,n,a,None
