0,1,2,3,4,5
1,と,2763,t,o,None
1,の,1184,n,o,None
1,て,2763,t,e,None
1,る,1184,r,u,None
1,い,1381,None,i,None
1,と,2763,t,o,None
1,の,1184,n,o,None
1,て,2763,t,e,None
2,い,1627,None,i,None
2,る,1395,r,u,None
2,も,2558,m,o,None
2,て,1162,t,e,None
2,ば,1162,b,a,None
2,れ,1627,r,e,None
2,ん,1162,None,None,N
2,ぶ,1162,b,u,None
2,た,930,t,a,None
2,お,930,None,o,None
2,よ,1627,y,o,None
2,な,1627,n,a,None
2,わ,1162,w,a,None
2,く,930,k,u,None
2,う,1860,None,u,None
3,ま,918,m,a,None
3,も,1224,m,o,None
3,い,1836,None,i,None
3,ね,918,n,e,None
3,い,918,None,i,None
3,ほ,1836,h,o,None
3,お,2908,None,o,None
3,も,918,m,o,None
3,に,1530,n,i,None
3,の,918,n,o,None
3,た,1530,t,a,None
3,て,918,t,e,None
3,と,918,t,o,None
3,と,1683,t,o,None
3,れ,1224,r,e,None
3,る,1224,r,u,None
3,も,1989,m,o,None
3,に,918,n,i,None
3,る,918,r,u,None
3,い,1530,None,i,None
3,が,918,g,a,None
3,も,1836,m,o,None
3,よ,2908,y,o,None
4,の,1097,n,o,None
4,ど,1646,d,o,None
4,る,1097,r,u,None
4,ど,1646,d,o,None
5,と,1875,t,o,None
5,よ,875,y,o,None
5,だ,1000,d,a,None
5,り,1875,r,i,None
6,い,972,None,i,None
6,る,972,r,u,None
6,と,833,t,o,None
6,と,833,t,o,None
6,わ,833,w,a,None
6,い,1111,None,i,None
6,と,833,t,o,None
6,と,833,t,o,None
6,げ,972,g,e,None
6,み,833,m,i,None
6,も,833,m,o,None
6,も,833,m,o,None
8,い,1400,None,i,None
9,さ,1097,s,a,None
9,の,1463,n,o,None
9,ま,1097,m,a,None
9,の,1463,n,o,None
9,て,1097,t,e,None
9,が,1097,g,a,None
10,い,833,None,i,None
10,か,1111,k,a,None
10,か,1111,k,a,None
10,た,1111,t,a,None
10,ら,833,r,a,None
10,い,833,None,i,None
10,わ,1111,w,a,None
10,す,2361,s,u,None
10,わ,1111,w,a,None
10,ど,2916,d,o,None
10,ろ,902,r,o,None
10,う,902,None,u,None
10,え,1111,None,e,None
10,り,833,r,i,None
10,く,1111,k,u,None
10,た,2916,t,a,None
11,ら,816,r,a,None
11,ば,918,b,a,None
11,い,918,None,i,None
11,お,2040,None,o,None
11,お,816,None,o,None
11,の,2040,n,o,None
11,え,816,None,e,None
11,う,2448,None,u,None
11,れ,3061,r,e,None
12,る,1044,r,u,None
12,ぶ,1424,b,u,None
12,お,1044,None,o,None
12,る,1424,r,u,None
12,わ,1044,w,a,None
12,だ,2943,d,a,None
13,よ,854,y,o,None
13,こ,1044,k,o,None
13,た,854,t,a,None
13,ね,1044,n,e,None
13,が,854,g,a,None
13,も,1613,m,o,None
13,でぃ,1234,d,i,None
13,よ,854,y,o,None
13,え,1234,None,e,None
13,よ,854,y,o,None
13,く,1613,k,u,None
13,と,1329,t,o,None
13,と,2848,t,o,None
14,い,833,None,i,None
15,ぜ,1046,z,e,None
15,よ,1308,y,o,None
15,お,1308,None,o,None
15,い,1308,None,i,None
15,も,1308,m,o,None
15,る,2877,r,u,None
16,て,1785,t,e,None
16,わ,892,w,a,None
16,る,982,r,u,None
16,が,803,g,a,None
16,が,1071,g,a,None
16,る,1071,r,u,None
16,け,1607,k,e,None
17,こ,914,k,o,None
17,よ,1554,y,o,None
17,で,914,d,e,None
17,ね,823,n,e,None
18,よ,1417,y,o,None
18,こ,1417,k,o,None
18,よ,1417,y,o,None
19,だ,978,d,a,None
19,い,1467,None,i,None
19,ち,815,ch,i,None
19,え,978,None,e,None
20,て,1457,t,e,None
20,ん,1971,None,None,N
21,も,1395,m,o,None
21,わ,1046,w,a,None
21,も,1569,m,o,None
21,じ,1046,j,i,None
21,る,1133,r,u,None
21,に,1395,n,i,None
21,お,1395,None,o,None
21,ろ,1744,r,o,None
22,こ,1936,k,o,None
22,ら,803,r,a,None
22,い,803,None,i,None
22,も,824,m,o,None
22,こ,947,k,o,None
22,こ,947,k,o,None
22,だ,1607,d,a,None
22,れ,1071,r,e,None
22,しょ,1442,sh,o,None
22,に,1277,n,i,None
22,け,824,k,e,None
22,お,1442,None,o,None
23,よ,947,y,o,None
23,た,868,t,a,None
23,に,868,n,i,None
23,り,868,r,i,None
23,に,1026,n,i,None
23,お,1026,None,o,None
24,ら,937,r,a,None
25,た,1013,t,a,None
25,る,1013,r,u,None
25,り,1013,r,i,None
25,お,1013,None,o,None
25,の,1013,n,o,None
25,か,810,k,a,None
26,の,1034,n,o,None
26,が,1034,g,a,None
26,る,1034,r,u,None
26,と,1379,t,o,None
26,じ,1896,j,i,None
27,お,907,None,o,None
27,る,1855,r,u,None
27,い,947,None,i,None
27,う,947,None,u,None
27,あ,1381,None,a,None
27,せ,2171,s,e,None
