,a,i,u,e,o
#,0.021729079981507166,0.07196794575435352,0.013561411619664046,0.015564801972568963,0.02820157189089228
b,0.008013561411619664,0.006780705809832023,0.004006780705809832,0.004160887656033287,0.0044691015564801975
by,0.0,0.0,0.0,0.0,0.0
ch,0.0026198181537987362,0.009708737864077669,0.0004623208506703652,0.0,0.0006164278008938204
d,0.018955154877484975,0.0004623208506703652,0.0,0.012482662968099861,0.01155802126675913
dy,0.0,0.0,0.0,0.0,0.0
f,0.0006164278008938204,0.0015410695022345508,0.005701957158267838,0.0001541069502234551,0.0
g,0.018338727076591153,0.002157497303128371,0.0024657112035752814,0.003544459855139467,0.002311604253351826
gy,0.0,0.0,0.0003082139004469102,0.0,0.0
h,0.0,0.008475882262290029,0.0,0.0,0.0044691015564801975
hy,0.0,0.0,0.0,0.0,0.0
j,0.0026198181537987362,0.00785945446139621,0.0006164278008938204,0.0,0.0004623208506703652
k,0.03729388195407613,0.0363692402527354,0.018646940977038066,0.011403914316535676,0.023578363384188627
ky,0.0001541069502234551,0.0,0.0004623208506703652,0.0,0.0015410695022345508
m,0.017722299275697333,0.023578363384188627,0.005547850208044383,0.015256588072122053,0.019263368777931885
my,0.0,0.0,0.0,0.0,0.0
n,0.044382801664355064,0.01849283402681461,0.0016951764524580058,0.005085529357374018,0.024194791185082446
ny,0.0,0.0,0.0001541069502234551,0.0,0.0
p,0.0027739251040221915,0.0009246417013407304,0.0012328556017876407,0.0001541069502234551,0.0018492834026814608
py,0.0,0.0,0.0001541069502234551,0.0,0.0
r,0.02820157189089228,0.016181229773462782,0.015256588072122053,0.016797657574356605,0.006472491909385114
ry,0.0,0.0,0.0,0.0,0.0010787486515641855
s,0.01155802126675913,0.0,0.014177839420557867,0.010479272615194945,0.010479272615194945
sh,0.0010787486515641855,0.02342425643396517,0.0010787486515641855,0.0,0.003544459855139467
t,0.030821390044691015,0.0009246417013407304,0.0003082139004469102,0.022961935583294808,0.02481121898597627
ts,0.0,0.0,0.015873015873015872,0.0,0.0
ty,0.0,0.0,0.0,0.0,0.0
v,0.0,0.0,0.0,0.0,0.0
w,0.023578363384188627,0.0004623208506703652,0.0,0.0003082139004469102,0.0
y,0.006472491909385114,0.0,0.00785945446139621,0.0,0.009554630913854214
z,0.0016951764524580058,0.0,0.006780705809832023,0.003544459855139467,0.0007705347511172754
cl,0.0,0.0,0.03344120819848975,0.0,0.0
N,0.0,0.0,0.041146555709662504,0.0,0.0
