,a,i,u,e,o
#,141,467,88,101,183
b,52,44,26,27,29
by,0,0,0,0,0
ch,17,63,3,0,4
d,123,3,0,81,75
dy,0,0,0,0,0
f,4,10,37,1,0
g,119,14,16,23,15
gy,0,0,2,0,0
h,0,55,0,0,29
hy,0,0,0,0,0
j,17,51,4,0,3
k,242,236,121,74,153
ky,1,0,3,0,10
m,115,153,36,99,125
my,0,0,0,0,0
n,288,120,11,33,157
ny,0,0,1,0,0
p,18,6,8,1,12
py,0,0,1,0,0
r,183,105,99,109,42
ry,0,0,0,0,7
s,75,0,92,68,68
sh,7,152,7,0,23
t,200,6,2,149,161
ts,0,0,103,0,0
ty,0,0,0,0,0
v,0,0,0,0,0
w,153,3,0,2,0
y,42,0,51,0,62
z,11,0,44,23,5
cl,0,0,217,0,0
N,0,0,267,0,0
