,a,i,u,e,o
#,0.01675977653631285,0.06983240223463687,0.025139664804469275,0.0223463687150838,0.0782122905027933
b,0.0111731843575419,0.0,0.00558659217877095,0.0,0.0
by,0.0,0.0,0.0,0.0,0.0
ch,0.0,0.002793296089385475,0.0,0.0,0.0
d,0.027932960893854747,0.002793296089385475,0.0,0.019553072625698324,0.0111731843575419
dy,0.0,0.0,0.0,0.0,0.0
f,0.0,0.0,0.0,0.0,0.0
g,0.019553072625698324,0.0,0.0,0.002793296089385475,0.0
gy,0.0,0.0,0.0,0.0,0.0
h,0.0,0.0,0.0,0.0,0.002793296089385475
hy,0.0,0.0,0.0,0.0,0.0
j,0.0,0.00558659217877095,0.0,0.0,0.0
k,0.008379888268156424,0.0,0.01675977653631285,0.0223463687150838,0.019553072625698324
ky,0.0,0.0,0.0,0.0,0.0
m,0.00558659217877095,0.002793296089385475,0.008379888268156424,0.0,0.0446927374301676
my,0.0,0.0,0.0,0.0,0.0
n,0.019553072625698324,0.027932960893854747,0.0,0.01675977653631285,0.04189944134078212
ny,0.0,0.0,0.0,0.0,0.0
p,0.002793296089385475,0.0,0.0,0.0,0.0
py,0.0,0.0,0.0,0.0,0.0
r,0.036312849162011177,0.01675977653631285,0.0782122905027933,0.01675977653631285,0.008379888268156424
ry,0.0,0.0,0.0,0.0,0.0
s,0.013966480446927373,0.0,0.008379888268156424,0.002793296089385475,0.0
sh,0.0,0.002793296089385475,0.0,0.0,0.002793296089385475
t,0.055865921787709494,0.0,0.0,0.055865921787709494,0.05307262569832402
ts,0.0,0.0,0.0,0.0,0.0
ty,0.0,0.0,0.0,0.0,0.0
v,0.0,0.0,0.002793296089385475,0.0,0.0
w,0.030726256983240222,0.0,0.0,0.0,0.0
y,0.0,0.0,0.0,0.0,0.04189944134078212
z,0.0,0.0,0.0,0.002793296089385475,0.0
cl,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.008379888268156424,0.0,0.0
