,a,i,u,e,o
#,235,745,138,183,381
b,85,59,37,30,47
by,0,0,0,0,0
ch,28,104,5,1,8
d,206,7,1,161,134
dy,0,0,0,0,0
f,5,14,59,1,4
g,226,21,25,37,24
gy,0,0,2,0,0
h,0,88,0,0,42
hy,1,0,0,0,1
j,29,84,8,0,10
k,355,375,215,140,252
ky,3,0,8,0,14
m,191,230,61,160,267
my,0,0,3,0,0
n,448,225,15,76,313
ny,0,0,1,0,0
p,25,12,13,1,14
py,0,0,3,0,0
r,328,195,233,176,74
ry,0,0,1,0,10
s,131,0,132,102,108
sh,7,261,7,0,44
t,334,7,3,327,299
ts,0,0,168,0,0
ty,0,0,0,0,0
v,0,0,1,0,0
w,271,3,0,2,0
y,63,0,84,0,153
z,21,0,72,31,10
cl,0,0,236,0,0
N,0,0,338,0,0
