song,event_idx,lyric,interval_pitch,consonant,vowel,special
1,12,き,,k,i,None
1,12,っ,,None,None,cl
1,13,と,7.0,t,o,None
1,14,と,-3.0,t,o,None
1,15,べ,1.0,b,e,None
1,16,ば,2.0,b,a,None
1,18,そ,,s,o,None
1,19,ら,-2.0,r,a,None
1,20,ま,-1.0,m,a,None
1,21,で,-2.0,d,e,None
1,22,と,2.0,t,o,None
1,23,ど,1.0,d,o,None
1,24,く,-1.0,k,u,None
1,26,お,,None,o,None
1,27,お,-7.0,None,o,None
1,28,き,0.0,k,i,None
1,29,な,0.0,n,a,None
1,30,こ,0.0,k,o,None
1,31,の,5.0,n,o,None
1,32,せ,2.0,s,e,None
1,33,え,-5.0,None,e,None
1,34,か,0.0,k,a,None
1,35,い,0.0,None,i,None
1,36,い,0.0,None,i,None
1,37,ま,0.0,m,a,None
1,38,き,5.0,k,i,None
1,39,み,-2.0,m,i,None
1,40,の,-1.0,n,o,None
1,41,も,1.0,m,o,None
1,42,の,-1.0,n,o,None
1,43,ゆ,-4.0,y,u,None
1,44,れ,0.0,r,e,None
1,45,て,7.0,t,e,None
1,46,か,-3.0,k,a,None
1,47,わ,1.0,w,a,None
1,48,る,2.0,r,u,None
1,50,す,,s,u,None
1,51,が,-2.0,g,a,None
1,52,た,-1.0,t,a,None
1,53,み,-2.0,m,i,None
1,54,せ,2.0,s,e,None
1,55,た,1.0,t,a,None
1,56,い,-1.0,None,i,None
1,57,お,-5.0,None,o,None
1,58,べ,1.0,b,e,None
1,58,い,,None,i,None
1,59,び,0.0,b,i,None
1,60,べ,2.0,b,e,None
1,60,い,,None,i,None
1,61,び,-2.0,b,i,None
1,64,み,-2.0,m,i,None
1,66,ご,2.0,g,o,None
1,73,ず,,z,u,None
1,73,っ,,None,None,cl
1,74,と,0.0,t,o,None
1,76,お,,None,o,None
1,77,も,7.0,m,o,None
1,78,お,-2.0,None,o,None
1,78,っ,,None,None,cl
1,79,て,-1.0,t,e,None
1,80,た,1.0,t,a,None
1,82,ね,,n,e,None
1,83,が,0.0,g,a,None
1,84,い,0.0,None,i,None
1,85,わ,-1.0,w,a,None
1,86,い,0.0,None,i,None
1,87,ち,4.0,ch,i,None
1,88,ど,3.0,d,o,None
1,90,は,,w,a,None
1,91,な,1.0,n,a,None
1,92,し,-8.0,sh,i,None
1,93,た,3.0,t,a,None
1,94,ら,0.0,r,a,None
1,98,く,,k,u,None
1,99,ず,1.0,z,u,None
1,100,れ,-8.0,r,e,None
1,101,て,3.0,t,e,None
1,102,く,-1.0,k,u,None
1,106,しゅ,,sh,u,None
1,106,ん,,None,None,N
1,107,か,0.0,k,a,None
1,107,ん,,None,None,N
1,109,む,,m,u,None
1,110,か,7.0,k,a,None
1,111,い,-2.0,None,i,None
1,112,か,-1.0,k,a,None
1,113,ぜ,1.0,z,e,None
1,115,だ,,d,a,None
1,116,れ,0.0,r,e,None
1,117,も,0.0,m,o,None
1,118,し,-1.0,sh,i,None
1,119,ら,0.0,r,a,None
1,120,な,4.0,n,a,None
1,121,い,3.0,None,i,None
1,123,あ,,None,a,None
1,124,し,1.0,sh,i,None
1,125,あ,-8.0,None,a,None
1,126,と,3.0,t,o,None
1,127,お,0.0,None,o,None
1,131,き,,k,i,None
1,132,ず,1.0,z,u,None
1,133,か,-8.0,k,a,None
1,134,せ,3.0,s,e,None
1,135,る,-1.0,r,u,None
1,139,き,,k,i,None
1,140,み,-5.0,m,i,None
1,141,と,-4.0,t,o,None
1,144,で,,d,e,None
1,145,あ,1.0,None,a,None
1,146,う,-1.0,None,u,None
1,147,だ,-2.0,d,a,None
1,148,け,-2.0,k,e,None
1,149,で,0.0,d,e,None
1,152,せ,,s,e,None
1,153,か,2.0,k,a,None
1,154,い,2.0,None,i,None
1,155,わ,-2.0,w,a,None
1,157,い,,None,i,None
1,158,ろ,8.0,r,o,None
1,159,お,-1.0,None,o,None
1,160,つ,-5.0,ts,u,None
1,161,け,3.0,k,e,None
1,162,る,-2.0,r,u,None
1,164,そ,,s,o,None
1,165,の,-3.0,n,o,None
1,166,ほ,1.0,h,o,None
1,167,ほ,2.0,h,o,None
1,168,え,-3.0,None,e,None
1,169,み,1.0,m,i,None
1,170,が,2.0,g,a,None
1,171,あ,-3.0,None,a,None
1,172,る,1.0,r,u,None
1,173,の,2.0,n,o,None
1,174,な,2.0,n,a,None
1,175,ら,-2.0,r,a,None
1,177,ひ,,h,i,None
1,178,と,5.0,t,o,None
1,179,り,0.0,r,i,None
1,180,き,2.0,k,i,None
1,181,り,5.0,r,i,None
1,182,じゃ,-5.0,j,a,None
1,183,な,3.0,n,a,None
1,184,い,-1.0,None,i,None
1,185,よ,-4.0,y,o,None
1,187,ど,,d,o,None
1,188,こ,1.0,k,o,None
1,189,ま,-3.0,m,a,None
1,190,で,4.0,d,e,None
1,191,も,-4.0,m,o,None
1,192,ま,4.0,m,a,None
1,193,も,1.0,m,o,None
1,194,り,-2.0,r,i,None
1,195,た,-1.0,t,a,None
1,196,い,-2.0,None,i,None
1,198,き,,k,i,None
1,198,っ,,None,None,cl
1,199,と,7.0,t,o,None
1,200,と,-3.0,t,o,None
1,201,べ,1.0,b,e,None
1,202,ば,2.0,b,a,None
1,204,そ,,s,o,None
1,205,ら,-2.0,r,a,None
1,206,ま,-1.0,m,a,None
1,207,で,-2.0,d,e,None
1,208,と,2.0,t,o,None
1,209,ど,1.0,d,o,None
1,210,く,-1.0,k,u,None
1,212,お,,None,o,None
1,213,お,-7.0,None,o,None
1,214,き,0.0,k,i,None
1,215,な,0.0,n,a,None
1,216,こ,0.0,k,o,None
1,217,の,5.0,n,o,None
1,218,せ,2.0,s,e,None
1,219,え,-5.0,None,e,None
1,220,か,0.0,k,a,None
1,221,い,0.0,None,i,None
1,222,い,0.0,None,i,None
1,223,ま,0.0,m,a,None
1,224,き,5.0,k,i,None
1,225,み,-2.0,m,i,None
1,226,の,-1.0,n,o,None
1,227,も,1.0,m,o,None
1,228,の,-1.0,n,o,None
1,229,ゆ,-4.0,y,u,None
1,230,れ,0.0,r,e,None
1,231,て,7.0,t,e,None
1,232,か,-3.0,k,a,None
1,233,わ,1.0,w,a,None
1,234,る,2.0,r,u,None
1,236,す,,s,u,None
1,237,が,-2.0,g,a,None
1,238,た,-1.0,t,a,None
1,239,み,-2.0,m,i,None
1,240,せ,2.0,s,e,None
1,241,た,1.0,t,a,None
1,242,い,-1.0,None,i,None
1,243,お,-5.0,None,o,None
1,244,べ,1.0,b,e,None
1,244,い,,None,i,None
1,245,び,0.0,b,i,None
1,246,べ,2.0,b,e,None
1,246,い,,None,i,None
1,247,び,-2.0,b,i,None
1,250,み,-2.0,m,i,None
1,252,ご,2.0,g,o,None
2,2,き,,k,i,None
2,3,え,2.0,None,e,None
2,4,る,3.0,r,u,None
2,5,こ,-1.0,k,o,None
2,6,と,-5.0,t,o,None
2,7,の,3.0,n,o,None
2,8,な,-2.0,n,a,None
2,9,い,0.0,None,i,None
2,11,ゆ,,y,u,None
2,12,め,3.0,m,e,None
2,13,が,0.0,g,a,None
2,15,あ,,None,a,None
2,16,る,0.0,r,u,None
2,17,こ,9.0,k,o,None
2,18,と,-2.0,t,o,None
2,20,し,,sh,i,None
2,21,ん,2.0,None,None,N
2,22,じ,2.0,j,i,None
2,23,て,0.0,t,e,None
2,24,い,1.0,None,i,None
2,25,る,-3.0,r,u,None
2,27,い,,None,i,None
2,28,つ,-1.0,ts,u,None
2,29,ま,-2.0,m,a,None
2,30,で,2.0,d,e,None
2,31,も,1.0,m,o,None
2,41,ろ,,r,o,None
2,42,お,5.0,None,o,None
2,43,ふぁ,0.0,f,a,None
2,44,な,-5.0,n,a,None
2,45,ら,0.0,r,a,None
2,46,し,7.0,sh,i,None
2,47,て,0.0,t,e,None
2,49,か,,k,a,None
2,50,ぜ,0.0,z,e,None
2,51,お,-1.0,None,o,None
2,52,お,1.0,None,o,None
2,53,い,2.0,None,i,None
2,54,こ,2.0,k,o,None
2,55,せ,-5.0,s,e,None
2,56,ば,0.0,b,a,None
2,58,きゅ,,ky,u,None
2,59,ん,-1.0,None,None,N
2,60,と,1.0,t,o,None
2,61,つ,2.0,ts,u,None
2,62,め,-2.0,m,e,None
2,63,た,-5.0,t,a,None
2,64,い,0.0,None,i,None
2,65,あ,-2.0,None,a,None
2,66,き,-1.0,k,i,None
2,67,の,1.0,n,o,None
2,68,ゆ,2.0,y,u,None
2,69,う,2.0,None,u,None
2,70,ぐ,-2.0,g,u,None
2,71,れ,0.0,r,e,None
2,74,あ,,None,a,None
2,75,か,5.0,k,a,None
2,76,い,0.0,None,i,None
2,77,せ,-5.0,s,e,None
2,78,ろ,0.0,r,o,None
2,79,ふぁ,7.0,f,a,None
2,80,ん,0.0,None,None,N
2,82,ら,,r,a,None
2,83,む,0.0,m,u,None
2,84,ね,-1.0,n,e,None
2,85,お,1.0,None,o,None
2,86,ひ,2.0,h,i,None
2,87,と,2.0,t,o,None
2,88,つ,-5.0,ts,u,None
2,89,ぶ,0.0,b,u,None
2,91,く,,k,u,None
2,92,ち,-1.0,ch,i,None
2,93,に,1.0,n,i,None
2,94,い,2.0,None,i,None
2,95,れ,-2.0,r,e,None
2,96,た,-5.0,t,a,None
2,97,ら,0.0,r,a,None
2,98,た,5.0,t,a,None
2,99,ち,2.0,ch,i,None
2,100,ま,2.0,m,a,None
2,101,ち,1.0,ch,i,None
2,102,と,-3.0,t,o,None
2,103,け,-2.0,k,e,None
2,104,た,2.0,t,a,None
2,105,あ,2.0,None,a,None
2,106,と,-2.0,t,o,None
2,107,な,-2.0,n,a,None
2,108,ん,-1.0,None,None,N
2,109,ど,1.0,d,o,None
2,111,こ,,k,o,None
2,112,お,-2.0,None,o,None
2,113,や,-2.0,y,a,None
2,114,っ,-1.0,None,None,cl
2,115,て,1.0,t,e,None
2,117,お,,None,o,None
2,118,な,-2.0,n,a,None
2,119,じ,-2.0,j,i,None
2,120,ゆ,-1.0,y,u,None
2,121,う,1.0,None,u,None
2,122,や,-3.0,y,a,None
2,123,け,3.0,k,e,None
2,124,ぞ,2.0,z,o,None
2,125,ら,-2.0,r,a,None
2,126,お,9.0,None,o,None
2,128,わ,,w,a,None
2,129,け,3.0,k,e,None
2,130,あ,5.0,None,a,None
2,131,え,-1.0,None,e,None
2,132,る,-2.0,r,u,None
2,133,か,-2.0,k,a,None
2,134,な,2.0,n,a,None
2,137,せ,,s,e,None
2,138,つ,7.0,ts,u,None
2,139,な,0.0,n,a,None
2,140,い,1.0,None,i,None
2,141,よ,-3.0,y,o,None
2,143,う,,None,u,None
2,144,ま,5.0,m,a,None
2,145,れ,5.0,r,e,None
2,146,て,-1.0,t,e,None
2,147,わ,0.0,w,a,None
2,149,き,,k,i,None
2,150,え,2.0,None,e,None
2,151,る,3.0,r,u,None
2,152,あ,-1.0,None,a,None
2,153,わ,-5.0,w,a,None
2,154,の,3.0,n,o,None
2,155,よ,-2.0,y,o,None
2,156,な,0.0,n,a,None
2,158,ひ,,h,i,None
2,159,び,3.0,b,i,None
2,160,に,0.0,n,i,None
2,162,ま,,m,a,None
2,163,よ,9.0,y,o,None
2,164,い,-2.0,None,i,None
2,166,く,,k,u,None
2,167,じ,2.0,j,i,None
2,168,け,2.0,k,e,None
2,169,そ,0.0,s,o,None
2,170,な,1.0,n,a,None
2,171,ひ,-3.0,h,i,None
2,172,に,-2.0,n,i,None
2,173,わ,2.0,w,a,None
2,175,す,,s,u,None
2,176,こ,5.0,k,o,None
2,177,し,5.0,sh,i,None
2,178,ず,-1.0,z,u,None
2,179,つ,0.0,ts,u,None
2,181,く,,k,u,None
2,182,れ,2.0,r,e,None
2,183,て,3.0,t,e,None
2,184,ゆ,-1.0,y,u,None
2,185,く,-5.0,k,u,None
2,186,そ,3.0,s,o,None
2,187,ら,-2.0,r,a,None
2,188,に,0.0,n,i,None
2,189,さ,-1.0,s,a,None
2,190,く,1.0,k,u,None
2,192,い,,None,i,None
2,193,ち,3.0,ch,i,None
2,194,ば,0.0,b,a,None
2,195,ん,-7.0,None,None,N
2,196,ぼ,0.0,b,o,None
2,197,し,9.0,sh,i,None
2,198,に,-2.0,n,i,None
2,200,つ,,ts,u,None
2,201,よ,2.0,y,o,None
2,202,く,2.0,k,u,None
2,203,ね,0.0,n,e,None
2,204,が,1.0,g,a,None
2,205,う,-3.0,None,u,None
2,206,ふぉ,-2.0,f,o,None
2,207,え,-1.0,None,e,None
2,208,ば,-2.0,b,a,None
2,209,ど,2.0,d,o,None
3,3,い,,None,i,None
3,4,ま,0.0,m,a,None
3,5,よ,-2.0,y,o,None
3,6,り,-2.0,r,i,None
3,7,も,2.0,m,o,None
3,8,つ,-2.0,ts,u,None
3,9,よ,0.0,y,o,None
3,10,く,-1.0,k,u,None
3,11,な,1.0,n,a,None
3,12,り,-1.0,r,i,None
3,13,た,-2.0,t,a,None
3,14,い,-2.0,None,i,None
3,15,た,2.0,t,a,None
3,16,だ,2.0,d,a,None
3,17,ひ,1.0,h,i,None
3,18,と,4.0,t,o,None
3,19,つ,-5.0,ts,u,None
3,20,の,5.0,n,o,None
3,21,ね,0.0,n,e,None
3,22,が,-2.0,g,a,None
3,23,い,0.0,None,i,None
3,26,む,,m,u,None
3,27,ね,0.0,n,e,None
3,28,に,2.0,n,i,None
3,29,さ,-2.0,s,a,None
3,30,く,-1.0,k,u,None
3,31,ほ,0.0,h,o,None
3,34,の,,n,o,None
3,35,お,0.0,None,o,None
3,44,な,,n,a,None
3,45,に,1.0,n,i,None
3,46,も,2.0,m,o,None
3,47,で,0.0,d,e,None
3,48,き,0.0,k,i,None
3,49,な,-2.0,n,a,None
3,50,か,-1.0,k,a,None
3,51,っ,-2.0,None,None,cl
3,52,た,0.0,t,a,None
3,53,ひ,2.0,h,i,None
3,54,に,0.0,n,i,None
3,56,む,,m,u,None
3,57,ね,1.0,n,e,None
3,58,の,2.0,n,o,None
3,59,ち,0.0,ch,i,None
3,60,か,0.0,k,a,None
3,61,い,-2.0,None,i,None
3,62,わ,-1.0,w,a,None
3,63,う,-2.0,None,u,None
3,64,ま,0.0,m,a,None
3,65,れ,2.0,r,e,None
3,66,た,0.0,t,a,None
3,68,け,,k,e,None
3,69,し,1.0,sh,i,None
3,70,て,2.0,t,e,None
3,71,も,0.0,m,o,None
3,72,お,0.0,None,o,None
3,73,に,-2.0,n,i,None
3,74,げ,-1.0,g,e,None
3,75,だ,1.0,d,a,None
3,76,さ,2.0,s,a,None
3,77,な,5.0,n,a,None
3,78,い,-1.0,None,i,None
3,79,と,-4.0,t,o,None
3,82,た,,t,a,None
3,83,だ,0.0,d,a,None
3,84,ひ,-3.0,h,i,None
3,85,た,1.0,t,a,None
3,86,す,2.0,s,u,None
3,87,ら,2.0,r,a,None
3,89,ま,,m,a,None
3,90,え,0.0,None,e,None
3,91,お,-1.0,None,o,None
3,92,む,0.0,m,u,None
3,93,く,1.0,k,u,None
3,94,と,2.0,t,o,None
3,96,き,,k,i,None
3,97,ず,0.0,z,u,None
3,98,つ,0.0,ts,u,None
3,99,き,0.0,k,i,None
3,100,た,0.0,t,a,None
3,101,お,-2.0,None,o,None
3,102,れ,-2.0,r,e,None
3,104,ま,,m,a,None
3,105,た,0.0,t,a,None
3,106,た,0.0,t,a,None
3,107,ち,0.0,ch,i,None
3,108,あ,0.0,None,a,None
3,109,が,-2.0,g,a,None
3,110,る,-2.0,r,u,None
3,112,あ,,None,a,None
3,113,き,-2.0,k,i,None
3,114,ら,2.0,r,a,None
3,115,め,-2.0,m,e,None
3,116,な,2.0,n,a,None
3,117,ど,1.0,d,o,None
3,118,し,2.0,sh,i,None
3,119,ら,0.0,r,a,None
3,120,ぬ,0.0,n,u,None
3,121,も,-2.0,m,o,None
3,122,の,-1.0,n,o,None
3,123,に,1.0,n,i,None
3,126,は,,w,a,None
3,127,る,2.0,r,u,None
3,128,わ,2.0,w,a,None
3,131,な,,n,a,None
3,132,ん,0.0,None,None,N
3,133,ど,2.0,d,o,None
3,134,で,-2.0,d,e,None
3,135,も,4.0,m,o,None
3,137,こ,,k,o,None
3,138,の,2.0,n,o,None
3,139,さ,1.0,s,a,None
3,140,き,4.0,k,i,None
3,141,に,-5.0,n,i,None
3,142,な,5.0,n,a,None
3,143,に,0.0,n,i,None
3,144,が,-2.0,g,a,None
3,145,あ,-2.0,None,a,None
3,146,る,2.0,r,u,None
3,149,み,,m,i,None
3,150,え,0.0,None,e,None
3,151,な,-1.0,n,a,None
3,152,く,1.0,k,u,None
3,153,て,-1.0,t,e,None
3,154,い,-2.0,None,i,None
3,155,い,-2.0,None,i,None
3,158,い,,None,i,None
3,159,ち,2.0,ch,i,None
3,160,ず,1.0,z,u,None
3,161,な,4.0,n,a,None
3,162,ま,-5.0,m,a,None
3,163,な,5.0,n,a,None
3,164,ざ,0.0,z,a,None
3,166,し,,sh,i,None
3,167,が,0.0,g,a,None
3,170,ほ,,h,o,None
3,171,の,0.0,n,o,None
3,172,お,2.0,None,o,None
3,173,お,-2.0,None,o,None
3,174,と,-1.0,t,o,None
3,175,も,0.0,m,o,None
3,178,す,,s,u,None
3,179,よ,0.0,y,o,None
4,9,あ,,None,a,None
4,10,い,1.0,None,i,None
4,11,ど,2.0,d,o,None
4,12,ろ,-3.0,r,o,None
4,13,い,1.0,None,i,None
4,14,ど,2.0,d,o,None
4,15,や,-3.0,y,a,None
4,16,け,6.0,k,e,None
4,17,に,-1.0,n,i,None
4,18,ま,-5.0,m,a,None
4,19,じ,3.0,j,i,None
4,19,っ,,None,None,cl
4,20,ぽ,-2.0,p,o,None
4,21,い,-1.0,None,i,None
4,22,ぞ,1.0,z,o,None
4,23,し,0.0,sh,i,None
4,24,め,0.0,m,e,None
4,25,き,0.0,k,i,None
4,26,り,0.0,r,i,None
4,27,は,0.0,w,a,None
4,28,り,0.0,r,i,None
4,29,き,0.0,k,i,None
4,30,り,0.0,r,i,None
4,31,ほ,-1.0,h,o,None
4,32,お,0.0,None,o,None
4,33,て,3.0,t,e,None
4,33,い,,None,i,None
4,34,し,-3.0,sh,i,None
4,35,き,-2.0,k,i,None
4,37,そ,,s,o,None
4,37,う,,None,u,None
4,38,や,1.0,y,a,None
4,38,っ,,None,None,cl
4,39,ぱ,-1.0,p,a,None
4,40,ふ,1.0,f,u,None
4,41,し,-1.0,sh,i,None
4,42,ぎ,-2.0,g,i,None
4,43,へ,-2.0,None,e,None
4,44,こ,9.0,k,o,None
4,45,ん,-2.0,None,None,N
4,46,で,-2.0,d,e,None
4,47,も,-1.0,m,o,None
4,48,そ,0.0,s,o,None
4,49,く,-2.0,k,u,None
4,50,は,3.0,w,a,None
4,50,っ,,None,None,cl
4,51,ぴ,-1.0,p,i,None
4,53,だ,,d,a,None
4,54,め,8.0,m,e,None
4,55,も,-2.0,m,o,None
4,56,と,-1.0,t,o,None
4,57,で,-2.0,d,e,None
4,58,け,2.0,k,e,None
4,58,っ,,None,None,cl
4,59,か,1.0,k,a,None
4,60,ら,2.0,r,a,None
4,60,っ,,None,None,cl
4,61,き,2.0,k,i,None
4,63,あ,,None,a,None
4,64,な,2.0,n,a,None
4,65,た,2.0,t,a,None
4,66,の,-2.0,n,o,None
4,67,た,2.0,t,a,None
4,68,め,1.0,m,e,None
4,69,の,2.0,n,o,None
4,71,わ,,w,a,None
4,72,た,-1.0,t,a,None
4,73,し,1.0,sh,i,None
4,74,あ,-1.0,None,a,None
4,75,い,1.0,None,i,None
4,76,ど,2.0,d,o,None
4,77,ろ,-3.0,r,o,None
4,77,い,,None,i,None
4,78,ど,-4.0,d,o,None
4,80,み,,m,i,None
4,81,ぎ,0.0,g,i,None
4,82,あ,-2.0,None,a,None
4,83,げ,3.0,g,e,None
4,84,て,-1.0,t,e,None
4,86,ひ,,h,i,None
4,88,だ,,d,a,None
4,89,り,-2.0,r,i,None
4,90,あ,3.0,None,a,None
4,91,げ,-1.0,g,e,None
4,92,て,-2.0,t,e,None
4,93,み,2.0,m,i,None
4,94,ぎ,0.0,g,i,None
4,95,さ,-2.0,s,a,None
4,96,げ,3.0,g,e,None
4,97,て,-1.0,t,e,None
4,99,ひ,,h,i,None
4,101,だ,,d,a,None
4,102,り,-2.0,r,i,None
4,103,さ,3.0,s,a,None
4,104,げ,-1.0,g,e,None
4,105,な,-2.0,n,a,None
4,105,い,,None,i,None
4,107,き,,k,i,None
4,108,ど,0.0,d,o,None
4,108,う,,None,u,None
4,109,か,0.0,k,a,None
4,109,ん,,None,None,N
4,110,りょ,0.0,ry,o,None
4,110,う,,None,u,None
4,111,あ,0.0,None,a,None
4,112,な,3.0,n,a,None
4,113,た,-1.0,t,a,None
4,114,わ,-2.0,w,a,None
4,115,だ,-2.0,d,a,None
4,116,あ,-3.0,None,a,None
4,117,れ,5.0,r,e,None
4,118,さ,-2.0,s,a,None
4,119,あ,-3.0,None,a,None
4,120,ね,5.0,n,e,None
4,121,ふ,0.0,f,u,None
4,124,し,,sh,i,None
4,125,も,0.0,m,o,None
4,125,ん,,None,None,N
4,126,に,0.0,n,i,None
4,126,ん,,None,None,N
4,127,しょ,0.0,sh,o,None
4,127,う,,None,u,None
4,128,ふ,7.0,f,u,None
4,129,れ,-2.0,r,e,None
4,130,ら,-2.0,r,a,None
4,131,れ,-1.0,r,e,None
4,132,た,-4.0,t,a,None
4,133,ら,2.0,r,a,None
4,134,ど,3.0,d,o,None
4,135,き,-3.0,k,i,None
4,136,ど,7.0,d,o,None
4,137,き,-7.0,k,i,None
4,140,き,,k,i,None
4,141,ほ,0.0,h,o,None
4,141,ん,,None,None,N
4,142,せ,0.0,s,e,None
4,142,っ,,None,None,cl
4,143,て,0.0,t,e,None
4,143,い,,None,i,None
4,144,ご,0.0,g,o,None
4,145,よ,3.0,y,o,None
4,146,う,-1.0,None,u,None
4,147,わ,-2.0,w,a,None
4,148,な,-2.0,n,a,None
4,149,あ,-3.0,None,a,None
4,150,に,5.0,n,i,None
4,151,だ,-2.0,d,a,None
4,152,あ,-3.0,None,a,None
4,153,り,5.0,r,i,None
4,153,ん,,None,None,N
4,157,に,,n,i,None
4,157,ん,,None,None,N
4,158,む,0.0,m,u,None
4,159,す,0.0,s,u,None
4,159,い,,None,i,None
4,160,こ,0.0,k,o,None
4,160,う,,None,u,None
4,161,の,7.0,n,o,None
4,162,ぞ,-2.0,z,o,None
4,163,む,-2.0,m,u,None
4,164,ま,-1.0,m,a,None
4,165,ま,-4.0,m,a,None
4,166,に,2.0,n,i,None
4,168,お,,None,o,None
4,169,き,-3.0,k,i,None
4,170,ど,7.0,d,o,None
4,171,き,-7.0,k,i,None
4,173,ぶ,,b,u,None
4,174,れ,0.0,r,e,None
4,175,ざ,-4.0,z,a,None
4,176,お,4.0,None,o,None
4,177,あ,0.0,None,a,None
4,178,せ,-4.0,s,e,None
4,179,え,4.0,None,e,None
4,180,ら,0.0,r,a,None
4,181,あ,-2.0,None,a,None
4,182,ふ,3.0,f,u,None
4,183,く,-1.0,k,u,None
4,185,あ,,None,a,None
4,186,わ,0.0,w,a,None
4,187,せ,-3.0,s,e,None
4,188,る,3.0,r,u,None
4,189,な,0.0,n,a,None
4,190,ら,-3.0,r,a,None
4,191,は,3.0,w,a,None
4,191,い,,None,i,None
4,192,そ,0.0,s,o,None
4,193,お,3.0,None,o,None
4,194,あ,0.0,None,a,None
4,195,に,-1.0,n,i,None
4,196,そ,-2.0,s,o,None
4,197,ど,2.0,d,o,None
4,197,っ,,None,None,cl
4,198,ち,-4.0,ch,i,None
4,199,こ,4.0,k,o,None
4,199,っ,,None,None,cl
4,200,ち,-4.0,ch,i,None
4,201,ゆ,7.0,y,u,None
4,202,う,-2.0,None,u,None
4,203,じゅ,-1.0,j,u,None
4,204,う,-2.0,None,u,None
4,205,ふ,0.0,f,u,None
4,206,だ,-2.0,d,a,None
4,206,ん,,None,None,N
4,207,で,2.0,d,e,None
4,208,も,-2.0,m,o,None
4,209,い,4.0,None,i,None
