song,event_idx,lyric,interval_pitch
1,62,すてい,4.0
1,63,うぃず,-2.0
1,65,れっつ,-2.0
1,248,すてい,4.0
1,249,うぃず,-2.0
1,251,れっつ,-2.0
2,210,りむ,1.0
4,154,わっとぅ,0.0
5,170,ひつ,-3.0
6,43,すと,-5.0
6,71,とつ,-2.0
6,87,むし,0.0
6,130,ずく,-7.0
6,188,じゃんぷ,
6,193,せく,
6,224,ずむ,-2.0
6,241,せく,
6,246,すて,-3.0
6,249,すてじ,0.0
6,365,じゃんぷ,4.0
6,425,がく,-2.0
6,433,ずむ,-2.0
6,450,せく,
6,458,すてっぷ,0.0
6,472,ぎぶ,3.0
7,34,いしょ,2.0
8,35,れっつ,0.0
8,50,かっぷ,0.0
8,63,わく,5.0
8,71,まし,0.0
9,50,です,-2.0
9,75,です,-2.0
11,209,まま,-2.0
12,47,かし,5.0
12,93,かし,5.0
12,134,ないん,2.0
12,171,すて,
13,82,いり,-4.0
14,24,どぅり,-1.0
14,34,はく,-5.0
14,214,どぅり,2.0
14,215,むらんど,-2.0
14,257,どぅりむ,4.0
14,258,かむ,0.0
14,259,とぅる,0.0
15,181,だいす,
16,205,ていく,
16,206,おふ,2.0
16,229,らく,1.0
17,51,らぶ,0.0
17,106,はと,
17,298,らぶ,0.0
18,9,だいす,5.0
18,52,ちぇんじ,
18,118,じっく,2.0
18,235,だいす,5.0
18,283,だいす,5.0
18,323,ちぇんじ,3.0
20,21,すきす,1.0
20,30,いんに,2.0
20,57,なり,
20,109,らく,-1.0
20,183,しく,1.0
20,235,きす,1.0
20,241,して,2.0
20,283,きす,1.0
20,291,きす,1.0
21,99,じゃんぷ,2.0
21,114,れっつ,
21,115,だんす,2.0
21,118,すり,0.0
21,146,れっつ,
21,150,べす,0.0
21,349,れっつ,
22,75,よく,1.0
22,212,なく,1.0
24,89,じっく,0.0
24,177,すまい,
24,238,どり,
24,396,れど,0.0
25,229,らぶ,0.0
26,48,らんど,-2.0
27,99,だき,
27,296,てっぷ,0.0
27,306,てじ,0.0
29,121,ばし,-2.0
30,167,ぷり,2.0
30,174,ぷり,2.0
30,194,ぷり,2.0
30,201,ぷり,2.0
30,223,ぷり,2.0
30,231,ぷり,2.0
30,252,ぷり,2.0
31,21,らぶ,-3.0
31,31,ふぁす,-3.0
31,32,らぶ,-4.0
31,138,りず,1.0
31,193,べす,2.0
31,197,ふれんど,1.0
32,6,だんす,
32,18,だす,
32,38,らんど,0.0
32,45,いつ,
32,106,れっつ,
32,107,すたと,2.0
32,123,どりむ,
32,124,おぶ,1.0
32,125,らいぶ,2.0
32,153,じっく,-2.0
32,167,でいず,2.0
32,176,くり,
32,177,すた,5.0
32,178,れいん,2.0
32,189,すた,-2.0
32,212,たいむ,-2.0
32,214,くろ,
34,151,して,-3.0
34,160,すた,-2.0
36,50,める,-1.0
36,116,よを,-2.0
38,42,ただ,
38,49,めく,0.0
38,275,ただ,
38,282,めく,0.0
40,39,わす,3.0
40,76,ころ,
41,233,りむ,2.0
42,92,ぴり,2.0
42,192,しゃいん,
43,33,だし,0.0
43,85,やま,0.0
43,86,もり,0.0
43,88,しご,12.0
45,43,すき,
48,212,そぶ,0.0
48,274,てぶ,0.0
49,44,ぶら,-2.0
49,47,わる,2.0
49,66,です,-2.0
49,166,じっく,2.0
50,160,との,2.0
50,177,ひと,-2.0
50,280,がく,0.0
50,283,かく,4.0
50,421,なく,2.0
50,436,いき,-2.0
