song,event_idx,lyric,interval_pitch
01,12,きっ,
01,13,と,7.0
01,14,と,-3.0
01,15,べ,1.0
01,16,ば,2.0
01,18,そ,
01,19,ら,-2.0
01,20,ま,-1.0
01,21,で,-2.0
01,22,と,2.0
01,23,ど,1.0
01,24,く,-1.0
01,26,お,
01,27,お,-7.0
01,28,き,0.0
01,29,な,0.0
01,30,こ,0.0
01,31,の,5.0
01,32,せ,2.0
01,33,え,-5.0
01,34,か,0.0
01,35,い,0.0
01,36,い,0.0
01,37,ま,0.0
01,38,き,5.0
01,39,み,-2.0
01,40,の,-1.0
01,41,も,1.0
01,42,の,-1.0
01,43,ゆ,-4.0
01,44,れ,0.0
01,45,て,7.0
01,46,か,-3.0
01,47,わ,1.0
01,48,る,2.0
01,50,す,
01,51,が,-2.0
01,52,た,-1.0
01,53,み,-2.0
01,54,せ,2.0
01,55,た,1.0
01,56,い,-1.0
01,57,お,-5.0
01,58,べい,1.0
01,59,び,0.0
01,60,べい,2.0
01,61,び,-2.0
01,62,すてい,4.0
01,63,うぃず,-2.0
01,64,み,-2.0
01,65,れっつ,-2.0
01,66,ご,2.0
01,73,ずっ,
01,74,と,0.0
01,76,お,
01,77,も,7.0
01,78,おっ,-2.0
01,79,て,-1.0
01,80,た,1.0
01,82,ね,
01,83,が,0.0
01,84,い,0.0
01,85,わ,-1.0
01,86,い,0.0
01,87,ち,4.0
01,88,ど,3.0
01,90,は,
01,91,な,1.0
01,92,し,-8.0
01,93,た,3.0
01,94,ら,0.0
01,98,く,
01,99,ず,1.0
01,100,れ,-8.0
01,101,て,3.0
01,102,く,-1.0
01,106,しゅん,
01,107,かん,0.0
01,109,む,
01,110,か,7.0
01,111,い,-2.0
01,112,か,-1.0
01,113,ぜ,1.0
01,115,だ,
01,116,れ,0.0
01,117,も,0.0
01,118,し,-1.0
01,119,ら,0.0
01,120,な,4.0
01,121,い,3.0
01,123,あ,
01,124,し,1.0
01,125,あ,-8.0
01,126,と,3.0
01,127,お,0.0
01,131,き,
01,132,ず,1.0
01,133,か,-8.0
01,134,せ,3.0
01,135,る,-1.0
01,139,き,
01,140,み,-5.0
01,141,と,-4.0
01,144,で,
01,145,あ,1.0
01,146,う,-1.0
01,147,だ,-2.0
01,148,け,-2.0
01,149,で,0.0
01,152,せ,
01,153,か,2.0
01,154,い,2.0
01,155,わ,-2.0
01,157,い,
01,158,ろ,8.0
01,159,お,-1.0
01,160,つ,-5.0
01,161,け,3.0
01,162,る,-2.0
01,164,そ,
01,165,の,-3.0
01,166,ほ,1.0
01,167,ほ,2.0
01,168,え,-3.0
01,169,み,1.0
01,170,が,2.0
01,171,あ,-3.0
01,172,る,1.0
01,173,の,2.0
01,174,な,2.0
01,175,ら,-2.0
01,177,ひ,
01,178,と,5.0
01,179,り,0.0
01,180,き,2.0
01,181,り,5.0
01,182,じゃ,-5.0
01,183,な,3.0
01,184,い,-1.0
01,185,よ,-4.0
01,187,ど,
01,188,こ,1.0
01,189,ま,-3.0
01,190,で,4.0
01,191,も,-4.0
01,192,ま,4.0
01,193,も,1.0
01,194,り,-2.0
01,195,た,-1.0
01,196,い,-2.0
01,198,きっ,
01,199,と,7.0
01,200,と,-3.0
01,201,べ,1.0
01,202,ば,2.0
01,204,そ,
01,205,ら,-2.0
01,206,ま,-1.0
01,207,で,-2.0
01,208,と,2.0
01,209,ど,1.0
01,210,く,-1.0
01,212,お,
01,213,お,-7.0
01,214,き,0.0
01,215,な,0.0
01,216,こ,0.0
01,217,の,5.0
01,218,せ,2.0
01,219,え,-5.0
01,220,か,0.0
01,221,い,0.0
01,222,い,0.0
01,223,ま,0.0
01,224,き,5.0
01,225,み,-2.0
01,226,の,-1.0
01,227,も,1.0
01,228,の,-1.0
01,229,ゆ,-4.0
01,230,れ,0.0
01,231,て,7.0
01,232,か,-3.0
01,233,わ,1.0
01,234,る,2.0
01,236,す,
01,237,が,-2.0
01,238,た,-1.0
01,239,み,-2.0
01,240,せ,2.0
01,241,た,1.0
01,242,い,-1.0
01,243,お,-5.0
01,244,べい,1.0
01,245,び,0.0
01,246,べい,2.0
01,247,び,-2.0
01,248,すてい,4.0
01,249,うぃず,-2.0
01,250,み,-2.0
01,251,れっつ,-2.0
01,252,ご,2.0
02,2,き,
02,3,え,2.0
02,4,る,3.0
02,5,こ,-1.0
02,6,と,-5.0
02,7,の,3.0
02,8,な,-2.0
02,9,い,0.0
02,11,ゆ,
02,12,め,3.0
02,13,が,0.0
02,15,あ,
02,16,る,0.0
02,17,こ,9.0
02,18,と,-2.0
02,20,し,
02,21,ん,2.0
02,22,じ,2.0
02,23,て,0.0
02,24,い,1.0
02,25,る,-3.0
02,27,い,
02,28,つ,-1.0
02,29,ま,-2.0
