('い',): 0.07466218198173534
('な',): 0.04417545026106342
('か',): 0.03629465944423803
('た',): 0.03568844476602069
('て',): 0.032794258560337915
('う',): 0.032012046072315545
('の',): 0.03128849952089485
('ん',): 0.03095605921348534
('と',): 0.02753387957838747
('く',): 0.02724054989537908
('し',): 0.02673211177816454
('ら',): 0.024952578367913644
('き',): 0.02420947650429239
('る',): 0.023016602460058273
('も',): 0.02284060465025324
('に',): 0.022117058098832548
('あ',): 0.021549954045016327
('だ',): 0.020885073430197312
('こ',): 0.020591743747188924
('ま',): 0.020454856561785008
('っ',): 0.02039619062518333
('れ',): 0.01988775250796879
('が',): 0.01937931439075425
('は',): 0.018694878463734674
('で',): 0.01613313256546141
('み',): 0.015566028511645189
('つ',): 0.01415804603320492
('お',): 0.01386471635019653
('り',): 0.013395388857383108
('よ',): 0.013121614486575279
('す',): 0.012926061364569686
('わ',): 0.012710952930363534
('え',): 0.012652286993761856
('さ',): 0.012554510432759059
('を',): 0.01196785106674228
('け',): 0.010970530144513758
('ど',): 0.009953653910084674
('そ',): 0.009777656100279641
('め',): 0.00846745018284217
('せ',): 0.00842833955844105
('ち',): 0.008017678002229306
('ひ',): 0.00707902301660246
('や',): 0.0070399123922013414
('ば',): 0.0064141424017834445
('じ',): 0.006355476465181767
('ぼ',): 0.005299489606351565
('ろ',): 0.005182157733148209
('ー',): 0.0050452705477442945
('ほ',): 0.005006159923343176
('ふ',): 0.004751940864735906
('ね',): 0.004732385552535346
('ず',): 0.004184836810919686
('ゆ',): 0.004126170874318009
('ぶ',): 0.0038915071279112972
('び',): 0.003774175254707941
('む',): 0.0037546199425073823
('ご',): 0.002776854332479418
('ぜ',): 0.002620411834874944
('じゃ',): 0.0022488609030643174
('べ',): 0.00217063965426208
('げ',): 0.0021119737176604025
('しょ',): 0.002014197156657606
('ぎ',): 0.002014197156657606
('きょ',): 0.0017599780980503354
('ぐ',): 0.001740422785849776
('へ',): 0.0015644249760447424
('づ',): 0.001310205917437472
('ちゃ',): 0.0012906506052369126
('じょ',): 0.0011928740442341162
('しゅ',): 0.0010950974832313197
('じゅ',): 0.0010559868588302013
('びゃ',): 0.001036431546629642
('ざ',): 0.0009973209222285235
('ぬ',): 0.0009777656100279641
('ちょ',): 0.0009190996734262862
('ぞ',): 0.000899544361225727
('しゃ',): 0.0008604337368246085
('ぁ',): 0.0008213231124234899
('ちゅ',): 0.0008213231124234899
('きゅ',): 0.0008213231124234899
('ぱ',): 0.0007431018636212527
('ぇ',): 0.0005279934294151006
('ぴ',): 0.0005084381172145413
('ぷ',): 0.0004497721806128635
('りょ',): 0.0003911062440111856
('ぽ',): 0.00037155093181062633
('きゃ',): 0.00033244030740950777
('ぃ',): 0.0003128849952089485
('びょ',): 0.00025421905860727065
('にゃ',): 0.00015644249760447424
('ぺ',): 0.00015644249760447424
('りゃ',): 0.00013688718540391496
('ぎょ',): 0.00013688718540391496
('ひょ',): 0.0001173318732033557
('みゅ',): 9.77765610027964e-05
('にゅ',): 7.822124880223712e-05
('びゅ',): 7.822124880223712e-05
('りゅ',): 7.822124880223712e-05
('ひゃ',): 5.866593660167785e-05
('ぅ',): 3.911062440111856e-05
('みょ',): 3.911062440111856e-05
('ゔ',): 3.911062440111856e-05
('ぎゅ',): 3.911062440111856e-05
('ぎゃ',): 3.911062440111856e-05
('ぉ',): 3.911062440111856e-05
